id,math_interest,math_anxiety,engage,class_climate,persistence,achieve,teacher_quality
p34,4,19,22,18,16,0.31006284140017387,-0.4443237483602236
p35,7,17,25,21,13,-0.06275588930367165,0.48716716222413387
p36,6,17,22,19,8,1.9063227250336396,-0.8212871387333246
p37,6,18,25,18,10,0.2867070970856643,-1.1720569026887724
p38,4,20,28,9,18,-0.5195536681256692,0.3725712185484066
p39,8,19,25,14,16,-0.3020533686999142,-0.5730331077871366
p40,7,18,24,16,18,-0.7889570208783241,-0.3870861771274316
p41,8,18,25,13,16,0.3389315060915313,-1.2719730574288342
p42,7,17,27,18,17,-0.012692402451412283,-0.7524036297157468
p43,8,19,24,17,13,-1.0965102114857221,0.07718854935529172
p44,8,17,34,10,15,-0.7251008152968759,-1.257222467445175
p45,5,19,32,14,15,-1.2378054919027837,-0.1425647689931054
p46,7,17,28,21,19,0.8052127377718676,0.386853158599599
p47,4,19,24,17,12,-0.7780493242876214,-0.9692296983767081
p48,5,17,20,18,13,-0.6705256221823009,-0.508759972023451
p49,9,17,27,23,15,-0.39919904910101783,0.7307493804877878
p50,4,20,25,20,21,0.035865499578419245,0.5716417346282338
p51,5,18,32,18,17,-1.0092259049809649,-1.2418915827065422
p52,4,20,26,20,14,-0.021144714501697297,-0.5674524549823583
p53,4,19,25,16,9,-0.12269136293006178,-0.23429639509029765
p54,4,19,9,16,5,-1.1123207281061223,-0.04704109152640691
p55,8,18,25,17,21,1.210732626710421,0.13450522114186148
p56,8,17,21,12,23,-0.02329652391536835,-0.5077824902584591
p57,12,17,35,11,22,0.03839399470049669,0.5139902503989368
p58,6,18,34,12,20,-0.2862605375906462,-1.15988495460719
p59,7,19,26,18,16,-1.8365934684792866,0.6004445802964474
p60,4,20,16,19,12,-0.16498329354327793,-0.24976495778805743
p61,11,17,27,18,23,-0.5445188711392147,-0.39466797117714225
p62,16,20,36,24,14,-1.6273731635895201,1.3863747772767445
p63,4,18,22,16.799999999999997,22,-0.44488538374913145,-1.5432798388620093
p64,4,19,10,19,6,-1.933393341972088,1.1077695965619836
p65,9,17,26,21,16.25,-0.3762065956121724,-0.6687911325938914
p66,4,20,25,19,11,-1.4534813985332065,-1.2153315878592958
p67,13,19,32,14,14,-0.019559220803034807,-0.12875346412183586
p68,4,20,19,21,13,-1.2141639109572888,0.8998713663257925
p69,4,20,22,11,14,-1.211827540779453,-0.016503711989911844
p70,4,19,24,18,18,-1.0805851393153532,0.16035071996524855
p71,4,20,26,21,13,-0.8163474372446928,0.06825843448320768
p72,8,17,30,14,20,0.7299243527407951,-0.2450184222678976
p73,4,19,23,21,16,0.07655841934894368,0.5964143210181309
p74,4,20,24,15,12,-0.39047382571872213,-1.031059023366294
p75,8,17,23,22,12,0.08547751834640294,-0.6339193832678113
p76,12,19,29,16,14,-0.07363962892623109,-0.18787260344534681
p77,16,20,20,12,13,-0.8761062534009079,1.3863747772767445
p78,7,17,28,19,20,1.040312222068985,-0.11487226929735961
p79,8,19,26,18,15,-0.9289695466258285,-0.5040733317468128
p80,6,18,26,14,12,-2.016992837395961,0.030328467792626424
p81,9,19,27,16,18,-0.747963665343273,-1.4093316528017399
p82,7,18,33,23,22,0.23735587678722875,-1.408838115448611
p83,13,20,18,13,14,-0.4096086001765157,0.19756259669376766
p84,4,17,21,16,12,0.23772230481426876,-0.9918873229407408
p85,5,17,27,18,16,0.12079035678896362,-0.2817020705349666
p86,8,20,27,21,15,-0.07902479442871968,-0.7605057043349462
p87,4,19,24,11,13,-1.0135856938938475,-1.2348414134410999
p88,11,18,36,22,16,-0.19268454944660024,0.9335078155250189
p89,7,17,29,12,18,0.4581045012741366,-1.3225053860067768
p90,4,20,17,14,6,-0.15594594452419452,-1.8042462785519215
p91,6,17,24,16,14,0.07403148756028315,-0.2842729749098994
p92,4,20,12,15,8,-0.9900211793388767,0.48781436384891014
p93,8,20,30,17,18,-0.4743048067070106,-0.30330436311114994
p94,12,17,NA,20,18,-2.365923093389214,0.33036092057980015
p95,7,17,23,17,11,-0.5472865068552035,-0.59728987764118
p96,11,17,36,20,16,-1.5973753005786673,-0.20926879783885707
p97,16,17,18,15,16,0.29967104867949135,-0.2026812499468795
p98,4,19,30,22,16,-0.19694748715447474,0.532764408196254
p99,8,17,24,16,16,-1.6293346680801775,0.24180276548976382
p100,7,20,22,14,5,-2.2240859228038836,0.2153158361245125
p101,4,20,18,18,19,-1.0629503881268982,0.8035551950450547
p102,4,20,10,16,15,-0.9510381757683651,-1.3044112004812667
p103,4,17,23,15,15,-0.6570538372728401,-1.0861830194978173
p104,5,17,18,21,20,-0.4052109995219564,1.2720258728695628
p105,8,17,22,14,12,-0.5310402792783055,-0.3277471193693859
p106,10,19,22,21,19,0.73754454159363,0.9318056369802236
p107,8,17,24,12,15,-0.7996512428591435,-0.5687367790874508
p108,4,17,34,22,22,1.1113336901801136,-1.1599823435238095
p109,4,20,9,12,13,0.3633717223284806,0.85497670920086
p110,5,19,9,11,15,0.5527258035991471,-0.6265027811805336
p111,4,18,9,13,11,-0.829924481300987,-0.08557129372575638
p112,7,20,30,11,16,-0.9224107683272688,-0.24047155667946973
p113,5,19,25,18,8,-0.9030648621486255,-1.0709818729737828
p114,4,20,26,19,17,-1.2157567177305015,-1.2984105795815837
p115,4,19,26,16,15,-1.6293460722254673,0.13184509530332778
p116,4,18,30,19,23,-0.17709649311134745,-0.30147513676521004
p117,4,18,18,17,15,-0.3727417083305094,-0.9795092370401361
p118,4,20,29,22,17,-0.2819517411353619,-0.11573104208711299
p119,4,19,14,6,20,-1.8362975714325487,-1.815479003323926
p120,6.666666666666667,17,22,12,12,-1.534546696702243,1.0374300016551228
p121,5,17,15,17,11,0.7870307071822958,-0.11889260811107538
p122,4,20,24,18,14,-1.2658985711629946,-0.06590660698627576
p123,4,17,28,18,23,0.30920222663695424,-0.20788466129710437
p124,4,17,30,18,18,-0.15262965981102997,-0.8298262813987927
p125,9,17,NA,16,21,-0.010525478676536547,-1.0495970817867402
p126,4,18,27,12,25,-0.20729404640488108,-1.2074497358258847
p127,6,18,25,21,12,-0.22801829104623583,0.6215471974079221
p128,4,20,24,13,13,-0.6862015298215608,-0.5895954471034743
p129,8,18,24,23,11,-1.274583970188851,-0.3435943426644861
p130,7,17,22,20,13,0.28684996253915596,-0.3483164375205368
p131,8,20,27,12,15,-0.4657941238941826,-0.11051625191552808
p132,4,19,26,8,9,-1.2833732911302456,-0.9266757134847853
p133,16,20,36,15,17,-0.9267377241799324,1.1530117914448323
p134,16,20,36,NA,17,-1.104433510267245,NA
p135,8,18.75,27,9,21,-0.07491044896804279,-0.6375855896435914
p136,4,19,20,14,14,-1.127087175659464,-0.8608791811116646
p137,6,17,24,12,12,-1.4382700415461664,0.15707678424664775
p138,4,18,18,11,7,-1.679917942146325,-1.1331992268921534
p139,10,18,32,15,16,-0.7136696901478836,1.060600550897177
p140,8,20,24,15,11,-1.1795989893901193,-0.6516920584969402
p141,5,18,23,19,14,-0.18428785661257813,0.8695107680116464
p142,4,17,24,22,14,-0.5575966160682674,0.4428697746559898
p143,5,20,27,18,14,-1.2633692912128902,-0.8167897104807743
p144,7,17,21,20,14,-0.11466017833022724,-0.1803435134666455
p145,4,18,27,24,13,0.834609994242849,0.4617659503373686
p146,15,17,34,21,19,-0.14320162364327388,0.16174866831019385
p147,4,19,28,18,10,-0.9199436454047867,-0.659888380677409
p148,4,17,20,19,11,0.01541372671177492,-0.4584332039282415
p149,4,17,20,19,11,-0.2951233502893093,-1.1552503730544632
p150,10,19,25,24,25,0.2888660498270848,-1.1011731683077541
p151,7,18,33,23,18,-0.7192354911906531,-0.5743021113008578
p152,4,18,36,21,19,0.3426404426581216,-0.4571254085358536
p153,6,18,24,23,18,-0.4598352037105143,0.5771141125805611
p154,5,17,26,18,15,-0.6231894434461326,-0.24143807362336087
p155,4,20,25,18,13,-0.8982090504477863,0.030824809839036724
p156,15,20,25.714285714285715,20,17,-2.454153045226392,0.20419703677916923
p157,16,20,23,15,17,-2.9438114352069977,0.59056150291745
p158,4,20,14,12,13,-1.552144787248771,-0.747210386789184
p159,4,20,21,11,20,-1.2483522151580173,-1.3676603477439662
p160,7,17,24,18,18,-0.2736426670829888,-0.3817318430534106
p161,6,17,24,13,11,-0.48422342158689247,-0.358807424422743
p162,8,19,27,16,5,-1.8445703963450866,1.3863747772767445
p163,5,17,32,24,12,-0.5582217376552925,0.26965907857982235
p164,4,20,25,20,16,-1.0843355137674406,0.1944739503869934
p165,4,18,23,17,12,-1.2805995962631056,-0.33652144837541265
p166,4,20,9,NA,9,-2.132106212434463,-1.787895837265978
p167,11,18,28,18,21,-1.47588508222369,-0.039483045223709136
p168,4,18,27,17,14,-0.769249489267484,-0.513381967608603
p169,4,18,23,10,11,-0.35426287174734855,-0.8871712878028474
p170,5,17,26,18,9,-0.6638889098763168,-0.1708649205058202
p171,6,20,25,9,14,-0.9406514629500216,-1.2194547783131378
p172,5,20,36,20,17,0.5128492223364026,-0.6456525889408541
p173,9,17,29,18,17,1.3742820406762433,-0.8161650848103358
p174,6,20,36,22,15,0.38850775306407537,0.8217159587513974
p175,4,20,26,21,8,-0.8873556566024681,-0.19607896467906608
p176,11,20,35,16,16,-1.0378646634659545,1.0429260621781224
p177,14,17,35,21,17,-1.8118461157483985,-0.11469495942851562
p178,4,19,23,19,17,-1.3536809147706081,-1.6624876300619766
p179,14,17,29,14,15,-2.3179855529733926,1.035465258165136
p180,16,20,36,19.5,10,-2.4076347044867754,0.9321293942769112
p181,4,20,32,23,15,0.9643627612045036,-0.5500837112128266
p182,4,20,26,18,19,-0.45570515421816127,-0.6472744405510845
p183,4,20,35,21,13,-0.8336676737529656,0.28240040650973974
p184,4,17,33,11,16,0.5979787999983373,-1.4019928138334303
p185,5,18,21,20,9,-0.9888609198146437,-0.48791464355059905
p186,4,17,13,9,11,-0.810471867883617,-0.2995681779919682
p187,4,17,17,18,20,-1.7412710363511583,0.8169874995884225
p188,5,20,21.375,16,10,0.2243318518463293,0.010228875800312065
p189,4,18,22.5,11,14,-1.0434026009695687,-0.6590567410088759
p190,7,20,24,12,19,-0.7781851491200532,-1.310106943645773
p191,8,17,35,21,16,0.8801654664296235,0.44389448557436234
p192,5,18,25,13,17,-0.04538720372845363,0.4957724289985237
p193,8,20,25,15,16,0.04431772393795331,-1.1513901355815872
p194,4,17,9,13.200000000000001,6,-0.726509015559623,-0.4354665418985481
p195,7,17,28,14,20,0.6247154144488101,-1.5415235485550447
p196,4,19,24,7,23,0.3162279290961219,-1.5944333335686325
p197,4,17,19.285714285714285,6,18,-0.8774348369196485,-1.4732551259000926
p198,4,20,26,15,24,-0.33456374680372003,-1.2202763724076988
p199,4,17.5,22,12,22,-1.3928537209937848,-1.4534558976157823
p200,11,18,28,21,17,-0.010826609350492889,-0.6773377910939945
p201,8,18,21,19,13,-0.6566740722337199,-0.2665799993184345
p202,6,17,31,20,11,-0.9305169735467098,0.06734653423157529
p203,10,20,23,15.600000000000001,9,-1.4362677546076237,1.118632595820974
p204,8,20,30,17,16,-0.9178356734755775,0.836322469873794
p205,4,20,27,12,5,-1.6696061008576217,0.5031099785263042
p206,7,17,15,16,10,0.1699456319994164,-0.3352308099055024
p207,5,17,25,21,16,-1.4983369583910036,0.6204653327054149
p208,NA,19,24,20,13,0.3081447305497211,-0.21831951443738706
p209,4,17,27,17,15,-0.8575424979407043,0.26707003272568164
p210,5,20,17,19,12,-0.5491297480285056,-0.4325242582683444
p211,15,19,36,22,13,-0.060797534021787926,1.3863747772767445
p212,4,17,36,22,18,0.8999111608928615,-1.0182953900193141
p213,4,20,32,18,9,-0.6491300186555665,-0.8742853826581061
p214,8,17,26,19,15,0.22170672601012542,0.10483354883294738
p215,7,18,21,15,9,-1.4860613617401899,-0.7047618787206571
p216,4,19,29,19,20,0.06973622190496555,-0.406941662730008
p217,6,18,23,16,12,0.36637373589892663,0.371531456856612
p218,6,18,33,15,19,-0.007450749833536635,1.0490270405263893
p219,8,17,23,17,14,-1.5292044295327247,-0.06071953979375171
p220,4,18.333333333333332,23.625,18,10,-0.9032889932667699,-0.6618755316491978
p221,10,18,20,21,12,-0.2928587550648573,0.21751075429918557
p222,7,17,26,16,15,-0.994210487288758,0.21396555553374969
p223,10,17,25,19,16,-1.9102859527601312,0.6661291689848927
p224,5,19,25,12,15,-0.25723425158158286,-0.9887611443516878
p225,9,17,27,16,13,-1.2076502706985757,0.5136677597983667
p226,4,20,26,14,12,-1.5483986751963843,-0.7141936501823182
p227,9,19,31,18,18,0.15223189140672763,0.46431465497431096
p228,8,17.5,36,24,20,-1.1484622344734625,-0.6283475736859752
p229,8,20,21,17,10,-0.967962252232419,0.0936977468530704
p230,8,17,27,17,16,-1.4914071378428286,-0.2970788967112547
p231,4,20,16,14,12,-0.9142939406796706,-1.2052047009439337
p232,4,19,21,21,14,0.29938672853332965,-0.13062308527186073
p233,4,18,26,16,15,-1.390353708475475,0.7059902938188061
p234,4,20,17,12,19,0.5130690412690618,-0.686155150151929
p235,8,20,23.142857142857146,17,17,-0.15645030841505403,0.5485482097752122
p236,10,19,27,15,15,-1.7193894265359622,-1.201085026007379
p237,10,19,30,16,18,-0.2556748512315807,-1.0301415391790076
p238,4,20,21,13.200000000000001,5,-0.8950236457164934,-0.5089621140988353
p239,4,17,22,21,10,-1.0784102031876475,-1.2064752336395723
p240,5,17,22,23,17,0.5970778950558624,0.18066450376153834
p241,4,20,21,10,9,0.09815207189102398,-1.1134314816464663
p242,4,17,20,16,11,-1.1520397579359263,-0.7320183791724338
p243,4,18,17,13,15,-1.6483089446604264,-0.8420458828735427
p244,7,18,26,12,22,-0.5799561503089685,-1.86302355569767
p245,13,19,36,24,17,0.6914031217181342,0.24384962984511258
p246,13,19,35,24,16,0.036907117290971445,0.959387363064126
p247,8,19,22.5,15,12,-1.142505190373045,-0.2749894080900915
p248,5,17,25,19,21,0.45744432547363734,-0.13769542100294632
p249,4,17,10,14,7,0.23420768610458742,0.9258990144142523
p250,5,17,34,23,19,0.603846024720118,-0.5495406181305791
p251,4,20,9,15,5,-0.5393683706945928,-0.2171641507496894
p252,8,18,26,21.6,17,-0.5312476882274187,0.22555874098471518
p253,4,20,25,16,16,-1.4954853619048443,0.8929954976116442
p254,6,18,26,16,10,-0.08698825702752382,-0.8997037102619942
p255,7,19,26,22,14,-1.2459062246107948,-0.24542567225789147
p256,4,18,27,13,11,-0.8291896809409722,0.1841988806862407
p257,13,18,31,20,17,-0.47109652955871073,-0.022175891725864344
p258,14.666666666666666,17,36,22.799999999999997,19,-1.1202980912469505,0.7374395358289483
p259,14,18,23,16,14,-0.32534100749783557,0.9132467475839723
p260,6,17,25,14,16,0.7856752149278133,-0.03558896492137322
p261,4,19,20,22,13,-1.4351233727104333,-0.23188954889179883
p262,10,20,27,18,17,-1.0506246596328488,1.1032738368709973
p263,12,17,29,16,17,-0.4753115998079943,-0.03537168498978927
p264,4,17,22,19,16,0.9553337308030896,-0.5726502509679263
p265,9,20,28,20,15,-0.7664183060226792,0.8484764740766633
p266,5,18,28,20,18,-0.8063129988081679,0.19356929779027884
p267,4,20,26,14,14,-0.5460097496565632,0.10459525282671352
p268,4,19,25,17,23,-0.18325617575463843,0.545604483210124
p269,4,18,23,20,17,0.5880464912106478,-0.9408196949137977
p270,4,18,27,21,23,-0.41545425810000863,0.7156433752320358
p271,7,17,17,20,15,-0.7674686197690697,-0.22853464464813542
p272,8,17,22,20,18,0.9281056154389852,-0.00933456591119376
p273,5,17,23,13,23,-0.7876305606063827,-0.055953683321352365
p274,7,20,20,19,19,-1.9104620963792227,-0.2378078116883513
p275,15,18,34,19,18,-0.044102465352435845,-0.5387197454328433
p276,4,18,22,15,13,-0.8147873647650089,-0.404356451524594
p277,4,17,23,20,11,-1.256481018062353,0.16131103490770238
p278,4,18,21,19,11,0.9001024814937428,-0.3531306289631707
p279,7,17,25,18,9,-0.8031706007446908,0.22989662449385742
p280,9,19,30.375,22,13,-1.5827454887295933,-0.1014937754815928
p281,5,20,27,17,15,-0.49153359639875444,-0.16749947057878814
p282,9,18,19,20,12,-1.0467275739198645,0.8650058371025963
p283,4,19,26,19,13,1.7603025583453489,-0.07101010597912746
p284,9,17,24,10,16,-1.6861123879716675,0.5634826903535682
p285,9,20,26,11,15,0.01342674103217832,-0.2599712939126963
p286,11,18,27,8,16,-0.2953743877950036,-0.717740020980508
p287,9,18,29,22,12,-0.19958763840488197,0.47377968747725363
p288,6,18,36,19,18,-1.448996205417648,0.8919759321241868
p289,5,18,20,16,15,-0.4990515195197895,-1.1217566271279842
p290,16,20,20,17,13,-3.3142826296258754,0.5075338147426607
p291,4,20,36,19,9,-2.545124612418258,0.4844096932401918
p292,4,20,9,6,19,-0.8140838531002685,-0.5126461979477955
p293,4,18,23.625,21,18,-1.2382333085314436,0.07740215071703539
p294,5,18,20,15,13,-0.7553653859319405,-1.0873431640936775
p295,4,20,22,7,8,-2.045206539006922,-1.595863055463244
p296,4,17,27,21,17,0.4678634526994854,-0.8230463621638219
p297,5,17,28,20,17,0.3778873997580629,-0.3434772385557229
p298,5,20,28,21,20,-1.3686080501403164,-0.14525483515388968
p299,8,17,26,17,18,-0.41955827619742725,-0.14227992897024866
p300,4,19,27,18,16,-1.0018994834319073,-0.41219138772292124
p301,6,17,26,17,9,-1.3967982486456822,-0.08692138222897623
p302,9,18,36,22,21,-0.8068633602707285,0.20180244408453807
p303,5,19,26,16,12,-0.4087365477643345,0.00826230292634895
p304,4,19,19,18,17,-0.5662340615590921,0.22722812326871167
p305,4,17,9,15,5,-1.8451480456528375,1.0045536713681469
p306,6,18,19,14,16,-1.2622590895413923,-0.751035944128946
p307,6,17,29,14,19,-1.3083506032448615,1.1490451137813298
p308,14,18,26,21,18,-0.5074873761468122,0.6426612383827809
p309,7,19,26,15,13,-1.3094945564110687,0.5920660277587944
p310,4,19,34,19,12,-1.496881903814025,-1.4928467120629254
p311,5,18,31,24,13,0.2086538272067113,0.8479529921690641
p312,7,19,31,19,17,-1.458596140378581,0.6562999336444649
p313,5,17,26,24,14,0.6458454798275061,0.5425391057070994
p314,6,18,30,20,21,-1.0406976564476103,0.661645745333499
p315,4,20,23,23,12,-0.6698596734293419,-0.38581911621917014
p316,14,18,30,17,13,-1.0765068404941065,0.9633597322416134
p317,6,19,24,21,8,-0.9486842778588702,0.15066332510170052
p318,9,17,27,21,12,-0.5906447636382111,0.14418622107422788
p319,9,18,30,17,12,0.636521785179602,0.35797614076227435
p320,4,19,22,15,19,0.14505092287105886,-0.48422369775954993
p321,4,18,23,18,11,-0.828502757011526,-0.9605470031735469
p322,4,18,23,22,9,0.22703496869187978,-0.4037334034084012
p323,13,18,24,17,13,-0.9731060607538145,1.3098378931600454
p324,4,19,26,21,22,-0.6298985451968658,-0.024484807563805933
p325,4,20,27,17,18,-0.9208116295650779,-0.8266130728094933
p326,4,18,19,18,15,-0.7249951679216489,0.2606170167847667
p327,10,18,33,13,21,-1.656905843348682,-0.3612583030253419
p328,10,17,26,16,9,-1.897456342931296,0.2050704847311506
p329,5,19,26,20,24,-0.5193545859938589,-1.0541087795696713
p330,4,20,24,18,13,-0.4789498290410012,-0.45255934780897095
p331,10,18,31,16,18,-0.37835878129502465,-0.29191576299940375
p332,7,19,29,22,13,-0.7764944830294893,0.31867933176135604
p333,4,17,18,18,5,-0.5172422539676386,-0.0037223548347659766
p334,4,20,25,22,9,-1.4791166909447369,0.543853667612621
p335,9,18,34,23,25,-1.1590335368174427,-0.36215104362309414
p336,4,20,27,20,13,-0.29964139447325466,-0.8112506615842868
p337,4,20,20,23,17,-0.49978735716436334,0.5359376536668472
p338,5,19,33,17,22,-0.06194780673133889,0.5240014232002966
p339,8,17,32,23,23,0.8658435372747528,-0.037892625430917926
p340,7,17,24,20,13,-1.4559569364597125,0.047246887838256445
p341,8,19,28,22,18,-0.5234510165595001,0.29033060164500374
p342,4,20,11,9,16,-0.5596222007110018,-1.93818857194138
p343,14,17,30,16,11,-1.0561924521247212,-1.4016332813553691
p344,4,20,20,8,10,-1.2146546921553565,-1.6521946412690902
p345,8,19,33,18,12,-1.0415426671715142,0.44142729016717885
p346,8,18,18,13,18,-0.4073678307240275,-0.5359017316333109
p347,4,19,34,17,20,-0.8030414356608078,0.15438660808838026
p348,4,19,22,18,17,-0.8939342772206409,-0.39315910377226204
p349,4,19,26,23,19,-0.5775561913994274,0.39107055756955394
p350,16,19,34,21,25,-0.06820585197751905,-0.6217774566949958
p351,6,18,19,15,21,0.17782918387502938,-1.1232850351232455
p352,4,17,35,20,18,-0.13902408820994253,0.38811020023934023
p353,7,18,19,19,19,0.7519376809751473,0.28375476799131993
p354,4,18,16,16,11,-1.6574248278352601,-0.45673828840697833
p355,4,20,21,18,13,-0.23109110938223956,-0.9203850254204445
p356,8,17,24,23,16,0.06790401626122362,-0.14078209664726798
p357,13,18,27,14,23,-2.3317191940302355,0.6187749106866962
p358,8,18,28,22,13,-0.4276043759022101,0.6078154185035821
p359,4,20,31,6,12,-1.2238512522172056,0.054341719843282496
p360,4,20,21,12,13,-1.5909232092971994,-0.4239942291394117
p361,4,17,24,10,13,0.05144956824641758,-0.7847973423322948
p362,7,20,20,19,16,-2.0636275626309435,0.43678170777717634
p363,16,19,36,15,25,1.0281092265190783,1.3863747772767445
p364,8,17,24,17,21,-0.32480754765038794,-0.021441733034808955
p365,4,17.5,23,14,11,-0.24967883145983338,0.5807380311413677
p366,4,17,21,21,13,0.3296140471291105,-0.582733438043395
p367,4,18,27,15,13,-0.9334301423032412,-1.276204300604633
p368,8,17,22,19,10,-0.6499777952930068,-0.8404290320309912
p369,4,17,21,18,18,-0.30137572988698996,-1.283904833379809
p370,4,20,26,16,19,-0.1504261646573678,-0.7551086601455924
p371,4,19,23,12,11,-0.25249329637396867,-0.5993434956410723
p372,4,18,25,18,9,-0.7455911411009175,-1.358015602574335
p373,4,20,16,19,5,0.09354861491186428,-0.6044119050583221
p374,4,20,23,20,16.25,-1.2236510234427043,-0.5674429542611523
p375,4,19,15,15,12,-1.4121160323643511,-1.0870547554375527
p376,4,20,24,18,14,0.03093513885893333,-1.0152514972947642
p377,7,20,19,13,16,-1.5661760599965973,1.1133601216387718
p378,15,17,32,18,19,-0.895140625981329,0.8735117950265825
p379,4,19,23,18,19,-1.6957148713685142,-0.9409812875356045
p380,13,17,30,24,18,-0.1581852687147953,0.3739410173454116
p381,8,19,20,16,13,-0.4347633787000532,0.586226639607936
p382,10.666666666666666,17,NA,19,20,-1.9021934722679719,0.39092476570918494
p383,4,17,24,18,13,1.148306841011972,-0.8460516942958403
p384,8,20,32,14,14,-0.7909651593842343,0.509801340591662
p385,14,17,30,16,17,-0.9072722887918236,-0.2432166852147986
p386,11,17,32,24,16,0.37947080208604145,0.6659895993802686
p387,10,19,32,13,11,-1.158289871511882,0.9100342710101702
p388,6,18,19,12,11,0.17068135657091565,-0.29513116194519895
p389,7,17,29,24,16,-0.9207016385617197,0.2554013836081806
p390,9,19,18,17,13,0.05263400037100873,-0.5884400345110788
p391,10,17,30,24,20,0.9712975574872249,0.1858722531881241
p392,4,19,21,19,10,0.2130454092835438,0.2731966461002803
p393,7,20,29,10,19,-1.5524182087416745,0.39699428879453175
p394,10,18,22,19,16,-1.1384365530702043,0.2596530905460082
p395,4,18,18,11,15,-0.9487151966793854,-0.04854528310259015
p396,4,18,19,20,14,-0.17657206567448905,0.33645341109554994
p397,4,20,27,6,20,0.07834208216177008,-1.4387882883467729
p398,10,18,21,23,17,0.2626906480964613,-0.2735963801284733
p399,11,18,34,24,14,-1.458867280061317,0.8465183936952144
p400,9,17,31,23,24,-0.2449302993867149,0.19543417382356934
p401,7,17,21,13,15,-1.4521148004356113,-0.25324692515796693
p402,8,17,26,18,15,-1.0336320738970821,-0.2634589284631379
p403,4,20,25,14,12,-3.491683826879662,-0.23130840742584735
p404,5,18,25,18,12,-0.2917698261193368,-0.12373432986938858
p405,8,17,21,16,15,-2.9166632279512754,-0.41931099284530715
p406,10,17,25,20,18,0.18586797404969813,-0.1971216577439038
p407,11,20,26,18,20,-1.8682361301304373,-0.17764600950595158
p408,6,18,23,24,9,-1.0991717893367783,0.5600719877768657
p409,7,18,28,18,12,-1.013016688574881,0.29094663366972745
p410,6,19,21,14,12,-1.2394422959306302,0.3951652132990143
p411,4,17,24,14,7,-1.0592867856884374,0.04212352918314908
p412,4,17,24,16,14,-0.3248253413053457,0.08239232239301668
p413,7,20,23,10,14,-1.9156993996597125,0.31461945340680725
p414,4,20,9,13,9,-1.9736694394840226,-1.6424904595497118
p415,5,20,22,18,17,-1.6470934042735377,0.5354806523540687
p416,4,19,22,16,20,-0.25703745263910555,-0.25537991434230245
p417,4,17,9,7,5,-1.2485054719856354,-1.6714513355793323
p418,7,17,29,20,16,-0.20371001153094262,0.3063553247266607
p419,15,20,36,13,15,-1.3447374062248671,0.8599858678316127
p420,5,19,29,16,11,-0.22991676718188303,0.6167619379453125
p421,6,17,31,23,18,-0.23210771460233726,-0.7144327758234704
p422,10,18,31,16,15,-1.0338141730248593,0.4017469066536823
p423,4,17,27,18,20,-1.1054044013197637,-0.2340846810688768
p424,6,17,31,18,20,0.03198688981999834,0.2104125932065542
p425,5,18,21,20,14,-1.268287499347228,0.03697538366039923
p426,12,19,31,22,15,-0.4847222686103948,0.35211608793726595
p427,7,20,15,22,16,-1.0245368131509904,1.3271436867102138
p428,13,17,10,14,9,-0.8632010385832687,1.3226396781637206
p429,4,18,27,20,14,1.1067732698219617,-0.308679720051579
