gpa,parents,role,relatives,succeed,intellect,writing,reputation,programs,ranking,office,greek,clubs
2.575,2,2,2,2,3,4,2,3,2,2,4,2
3.3541666666666665,2,2,2,3,3,2,3,3,1,2,1,4
2.7612828996340424,3,2,2,3,2,3,2,1,1,1,3,3
3.4186046511627906,2,3,1,4,4,4,2,3,2,2,3,4
3.3617021276595747,2,2,2,4,3,3,2,1,1,3,4,3
0.8157894736842105,1,1,1,4,3,4,2,1,1,3,3,2
2.6,2,2,1,2,4,3,2,2,1,1,4,1
2.6666666666666665,2,1,1,5,4,5,1,1,1,3,4,3
2.7612828996340424,3,3,1,4,5,4,3,1,2,1,3,3
2.0256410256410255,2,1,1,3,2,3,3,2,2,3,3,4
2.3902439024390243,2,1,1,3,3,3,3,1,1,2.325077399380805,3.126348228043143,3
2,1,1,2,4,4,3,3,1,3,1,3,2
3.76,1,1,1,5,5,3.3194650817236258,2,2,1,2,3,2
2.324324324324324,1,1,1,3,3.696879643387816,3.3194650817236258,1,1,1,2,1,7
1.8108108108108107,2,2,2,3,3,2,3,1,3,2,4,3
2.7612828996340424,2,2,2,3,3,4,2,2,1,3,3,1
2.6904761904761907,2,2,2,4,4,3,2,1,1,2.325077399380805,3.126348228043143,6
3.306122448979592,2,2,1,4,4,3,2,1,1,3,4,1
1.1951219512195121,3,1,3,3,3,5,3,1,2,4,2,3
3.0625,1,2,1,5,5,4,2,1,2,1,4,3
2.5813953488372094,3,2,2,3,4,2,3,1,2,2,3,3
2.2708333333333335,3,2,1,4,5,5,3,1,2,3,4,8
1.6470588235294117,2,2,2,3,3,4,3,1,2,2,3,4
2.1818181818181817,3,1,2,4,5,4,2,2,2,2,4,1
2.4210526315789473,2,3,3,3.8462664714494874,3.696879643387816,3,1,1,3,3,2,3
3.1346153846153846,1,1,2,5,4,4,3,1,2,3,4,4
3.4583333333333335,3,2,1,5,4,5,2,1,1,3,4,4
3.375,2,1,2,4,4,4,3,2,2,3,4,4
2.7612828996340424,2.1887072808320953,1,2,3.8462664714494874,3,3,1,1,1,1,4,3.249621785173979
2.6744186046511627,2,1,1,3,3,2,2,1,2,1,4,2
2.7612828996340424,2,1,1,3,4,3,3,2,3,1,4,2
1.7555555555555555,2,3,2,4,3,4,3,2,1,2,1,1
4,2,1,1,5,4,4,1,2,1,2,3,4
2.0930232558139537,1,2,2,3,3,4,2,2,1,3,3,3
2.3181818181818183,2.1887072808320953,1.6265060240963856,2,5,4,3,3,1,2,2,4,3
1.8571428571428572,2,1,1,4,4,3,3,1,1,2,4,5
1.3513513513513513,2.1887072808320953,1.6265060240963856,2,3,4,3,3,2,2,2.325077399380805,3.126348228043143,3.249621785173979
2.2444444444444445,3,2,2,3,3,4,3,1,2,3,4,3
3.9152542372881354,2,2,2,5,4,4,3,3,2,2,3,5
2.6666666666666665,1,2,2,4,5,4,2,2,2,3,3,4
2.236842105263158,2,2,1,3,4,3,1,1,1,3,4,5
2.2857142857142856,2,1,2,3,2,2,2,2,1,2,3,2
2.048780487804878,1,1,1,4,4,4,3,2,2,3,4,5
0.8387096774193549,3,1,1,3,3,2,3,2,1,2,3,4
2.142857142857143,2,1,1.5618479880774963,3,3,1,3,1.6111111111111112,2,1,3,2
2.8043478260869565,3,1,2,3.8462664714494874,4,3,3,1,1,2,4,2
3.369565217391304,3,2,2,4,4,3,3,1,1,3,2,8
2.9347826086956523,2,1,1,3,3,3,3,3,1,2,4,3
2.933333333333333,3,3,1,4,3,3,2,2,1,3,4,3
2.9545454545454546,1,1,2,3,4,3,3,2,1,3,4,6
2.595744680851064,2,1,1,3,2,3,3,1,2,2,3,2
3.3,2,1,1,5,4,3,2,1,1,3,4,3
2.3783783783783785,3,3,1.5618479880774963,3,3.696879643387816,3.3194650817236258,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
2.7,3,2,3,4,5,3,3,2,1,1,3,1
2.7954545454545454,3,1,2,4,4,3,3,2,1,3,3,3.249621785173979
2.588235294117647,2,2,1,4,2,3,3,2,2,2,4,3
2.707317073170732,2,3,1,4,5,3,2,1,1,1,1,1
2.7612828996340424,3,2,2,3,3,2,3,3,2,2,2,4
2.659090909090909,3,2,1,4,4,4,2,2,2,3,4,4
3.05,3,2,1,5,4,3.3194650817236258,2,1,1,1,3,3
1.8837209302325582,2,1,2,4,3,3,3,1,2,3,3,3
2,3,2,2,3,3,4,3,1,3,3,4,4
2,2,2,1,3,4,3,2,2,2,2,3,4
2.883720930232558,2,1,1,4,3,4,3,2,3,3,4,4
1.736842105263158,2.1887072808320953,1.6265060240963856,1.5618479880774963,3.8462664714494874,3.696879643387816,3.3194650817236258,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
1.8,1,1,1,4,3.696879643387816,3.3194650817236258,3,1,1.6681749622926094,2.325077399380805,3.126348228043143,5
1.9555555555555555,3,2,1,3,3,3,2,2,2,3,2,2
2.111111111111111,2,2,1,4,4,2,2,2,3,3,3,3
2.021276595744681,2,2,1.5618479880774963,4,4,3,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
3.78,2,2,1,4,4,4,2,1,1,3,3,2
1.5454545454545454,3,2,3,4,3,1,3,2,1,1,3,8
3.488888888888889,3,2,3,4,4,3,3,3,3,3,2,4
2.1052631578947367,3,3,1.5618479880774963,2,5,1,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,1
3.6363636363636362,2.1887072808320953,1.6265060240963856,1.5618479880774963,4,4,3,3,1.6111111111111112,1.6681749622926094,2,4,3.249621785173979
3.7083333333333335,3,1,3,5,3,3,3,3,1,2,4,3
2.4516129032258065,3,3,2,4,4,3,3,1,1,3,4,3
3.2,2,1,1,4,5,3,3,2,1,2,3,3
2.347826086956522,3,3,1,4,5,4,3,2,3,2,4,3
2.1627906976744184,2,2,1,4,3,3,2,1,2,2.325077399380805,3,3
2.289473684210526,2,1,2,4,3,3,2,1,2,2,2,3
3.4285714285714284,1,2,1,4,5,3,3,1,2,4,4,3
2.6744186046511627,1,1,1,5,5,5,3,1,3,3,4,5
3.9318181818181817,1,1,1.5618479880774963,4,4,3,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,4
3.938775510204082,3,1,1,5,5,5,2,1,2,1,3,2
2.857142857142857,1,1.6265060240963856,1,5,3,2,3,3,2,2,3,2
2.1951219512195124,2,2,1,5,5,3,3,2,1,3,3,5
2.938775510204082,2,1,1,5,5,5,3,3,1,3,3,4
3.019607843137255,3,1,1,4,4,3,3,3,1,1,2,1
1.9565217391304348,1,1,1,3,2,2,3,2,1,3,3,3
3.3541666666666665,3,3,1,5,4,3,3,3,3,3,3,5
2.4186046511627906,3,1,1,4,4,2,3,1,2,1,4,7
3.607843137254902,2,2,2,5,4,4,3,1,2,3,2,4
3.8,3,2,2,5,4,4,3,3,3,2,2,4
1.837837837837838,3,2,1,3,4,3,3,1,2,2,4,2
1.8444444444444446,2,1,1,5,4,2,3,1,2,1,1,1
2.9183673469387754,2,1,1,3,3,3,3,1,1,1,3,1
3.183673469387755,2,2,2,4,4,2,3,2,2,2,4,4
2.6222222222222222,2,1,1,3,3,3,3,1,2,2,4,4
1.793103448275862,2,1,2,3,4,4,3,3,1,2,4,1
3.7111111111111112,3,2,1,4,2,4,3,2,2,3,4,4
3,3,1,2,3,4,3,2,1,1,2,4,2
2.891304347826087,3,3,1,4,4,4,2,1,3,2,4,4
2.836734693877551,2,1,2,4,4,4,3,1,1,1,3,8
1.3333333333333333,2,1,1,4,4,2,3,1,2,2,2,3
1.6666666666666667,2,3,1,4,4,3,3,2,1,2,2,4
2.25,3,3,2,3,4,4,3,2,2,3,3,5
3.682926829268293,3,2,1,4,3,3,3,3,3,3,4,3.249621785173979
3.4468085106382977,1,2,1,4,4,3,3,3,1,2,3,2
2.3541666666666665,2,2,1,4,5,3,2,2,2,2,4,2
3.6923076923076925,3,3,1,4,4,4,3,1,2,3,4,4
1.6341463414634145,3,1,2,3,4,4,3,1,1,1,4,7
3.1458333333333335,2,1,1,4,3,1,2,3,1,1,3,3
2.725,2,2,1,5,4,4,2,2,1,3,4,8
3.5238095238095237,2,1,1,4,4,5,3,3,2,1,3,3
1.7674418604651163,3,2,2,3,3,3,3,1,1,1,3,2
3.0416666666666665,2,1,2,4,4,4,3,3,1,3,4,2
1.8918918918918919,2,1,2,4,3,3,2,2,2,4,3,3
2.9565217391304346,2,1,1,5,3.696879643387816,3,3,1,1,2,3,2
3.3125,3,3,1,4,3,3,2,1,2,2.325077399380805,3.126348228043143,4
2.6923076923076925,1,1,1,5,4,3,2,1,2,2,2,3
2.625,3,2,2,4,4,4,3,2,1,3,1,2
1.9555555555555555,2,1,2,3,3,3,3,1,1,1,3,1
2.4791666666666665,2,1,2,4,5,5,3,1,3,2,3,4
2.25531914893617,2,1,2,4,4,3,3,1,2,2.325077399380805,3.126348228043143,1
4,3,2,2,5,4,3.3194650817236258,3,3,3,3,4,7
2.7612828996340424,2,2,2,3,3,4,3,2,1,2,4,3
2.85,1,2,1,3,4,3,2,1,1,2,4,2
3.4375,2,1,1,4,3,3,2,1,2,3,4,4
3.2222222222222223,1,1,1,3,4,4,1,1,1,1,2,1
2.880952380952381,2,1,2,5,5,2,3,1,1,2,4,3
3.6444444444444444,2,2,1,5,5,3,2,1,2,3,4,3
3.411764705882353,1,2,2,3,4,3,2,2,1,3,4,4
3.0625,2,2,2,4,3,3,3,2,2,3,4,4
3.8095238095238093,2,3,1,4,4,3,2,3,1,2,2,2
3.372093023255814,1,1,1,4,4,4,2,1,1,1,2,5
3.324324324324324,2,1,1,5,4,3,3,1,1,2,3,2
3.1538461538461537,2,2,1,4,3,3,2,2,1,1,1,2
2.380952380952381,2.1887072808320953,1.6265060240963856,1.5618479880774963,3.8462664714494874,3.696879643387816,3.3194650817236258,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
2.8444444444444446,3,2,1,4,3,4,2,1,2,2,4,1
3.097560975609756,1,1,1,4,4,4,2,1,1,2,1,3.249621785173979
3.6538461538461537,2,2,1,5,4,4,3,3,1,2,2,2
3.617021276595745,2.1887072808320953,1.6265060240963856,2,4,3.696879643387816,2,2,1,2,3,3,4
2.6470588235294117,3,1,2,5,4,3,3,2,2,3,2,3
3.4871794871794872,3,1,1,4,4,3,2,1,1,2,2,1
3.046511627906977,1,2,1,4,4,3,2,1,1,3,3,5
3.25,1,1,1,3,4,3,2,2,1,3,4,4
1.8857142857142857,1,2,1,3,3,3,2,1,2,3,2,2
4,2,1,3,4,4,4,3,1,1,2,2,1
1.8837209302325582,1,2,1,3,4,3,2,1,1,1,2,1
2.7612828996340424,3,2,2,3,3,2,1,1,2,1,4,3
3.6530612244897958,2,2,2,4,5,3,3,1,1,2,3,1
2.3617021276595747,1,1,1,3,3,1,3,2,2,2,4,2
2.909090909090909,3,2,2,5,4,4,3,1,1.6681749622926094,1,3,4
2.8666666666666667,2,2,1,5,4,5,3,2,2,2.325077399380805,3.126348228043143,3
3.2666666666666666,1,2,1,5,5,4,3,1,2,3,4,4
3.0392156862745097,2,2,2,4,4,4,3,2,3,3,3,4
3,2,1,3,3,3,1,2,1,1,2.325077399380805,3.126348228043143,4
2.261904761904762,3,2,3,4,4,3,3,1,2,1,4,2
3.823529411764706,3,1,3,5,4,3,3,1,2,2,3,4
4,3,3,1,4,3,4,3,1,3,3,3,4
3.0851063829787235,2.1887072808320953,1.6265060240963856,1,3.8462664714494874,3.696879643387816,3.3194650817236258,3,2,2,2,4,3
2.1621621621621623,3,2,3,3,3,3,3,1,2,2,4,3
1.565217391304348,2,3,2,3,2,2,3,2,1,2,3,2
1.1136363636363635,2,1,2,3,3,3,3,2,2,1,3.126348228043143,3
4,2,1,1,4,4,3,3,1,3,3,1,3
2.7612828996340424,3,3,3,3,4,3,3,2,3,1,4,1
1.9777777777777779,3,2,3,4,4,3,3,2,2,3,4,6
3.4583333333333335,3,3,2,4,4,4,2,2,1,3,4,4
1.8695652173913044,2,2,2,5,5,4,3,1,2,2,4,1
3.54,1,1,2,4,4,4,3,2,1,3,4,3
1.725,3,1,3,3,4,2,3,1,2,1,3,3
3.0833333333333335,3,2,2,4,3.696879643387816,3.3194650817236258,1,1,1,2.325077399380805,1,5
2.7612828996340424,3,2,3,3,3,3,2,2,2,2.325077399380805,3.126348228043143,3
3.021276595744681,1,1,1,4,4,4,3,1,1,2,4,3
2.58974358974359,3,3,3,3,4,3,3,1,2,2,3,4
2.558139534883721,3,2,2,3,4,4,2,1,1,2,3,2
1.9,2,1,1,4,5,3,3,1,2,2,3,3
4,2,2,1,5,5,4,3,1,1,3,2,6
3.7,1,1,2,4,4,3,2,1,1,3,4,4
2.159090909090909,2,1,1,4,4,3,3,2,2,2,4,1
0.9736842105263158,3,2,2,3,3,4,3,1,2,2,4,3
3.7777777777777777,3,2,2,5,3,3,3,1,1,3,3,3
3.574468085106383,3,1,2,4,5,3,3,2,1,2,2,2
3.5853658536585367,1,1,1,4,4,3,3,1,2,1,3,4
2.673469387755102,2,2,1,4,3,4,2,1,1,3,4,3.249621785173979
3.8076923076923075,1,2,1,5,5,4,2,1,2,2,3,4
3.6818181818181817,3,2,1,4,3,3,3,2,3,3,3,2
3.357142857142857,2,1,1,4,3,4,1,1,1,3,4,5
2.688888888888889,2,1,1,4,4,1,2,3,2,3,3,2
2.7612828996340424,2,2,1,4,5,2,3,1,1,2,3,8
2.7346938775510203,1,1,1,5,4,4,3,3,1,2,1,2
3.813953488372093,3,2,3,4,4,5,3,2,1,3,3,8
2.5454545454545454,2,1,2,4,4,3,2,1,1,1,4,1
1.1794871794871795,2,2,1,4,3,4,2,1,1,2,2,3
3.736842105263158,3,1,1,3,3,4,3,1,2,2,2,3
3.933333333333333,3,1,2,4,4,3,3,2,2,2,3,1
2.3555555555555556,3,3,2,4,4,4,3,1,2,2,4,3
3.872340425531915,3,1,1,4,4,4,2,2,2,1,1,2
2.5675675675675675,2.1887072808320953,1.6265060240963856,1,3.8462664714494874,3.696879643387816,3.3194650817236258,3,3,2,2.325077399380805,3.126348228043143,4
2.911111111111111,3,1,2,4,5,3,3,2,2,3,4,4
1.0222222222222221,1,2,1,3,4,1,2,1,1,3,2,1
3.5,3,1,2,4,4,3,2,2,2,3,4,5
2.558139534883721,2,2,1,3,3,2,3,1,1,3,3,1
3.1702127659574466,2,1,2,3,4,4,3,1,3,1,1,1
2.978723404255319,2,2,1,4,1,3,3,3,2,3,4,4
2,3,3,3,4,5,3,3,3,1,2,4,4
3.4878048780487805,3,1,2,4,4,4,3,3,2,2.325077399380805,3.126348228043143,4
2.1666666666666665,2,1,1,4,4,4,3,1,3,3,3,3
3.1875,3,2,2,5,3,4,3,1,1,2,3,4
2.5609756097560976,2,2,2,3,3,2,2,1,1,2,1,4
3.3333333333333335,2,1,1,4,4,3,3,2,3,2,3,4
3.0681818181818183,2,2,2,3,2,3,3,2,1,2,3,2
2.7612828996340424,3,1,1,3,3,2,3,2,1,2,2,1
2.425531914893617,3,3,1,4,4,3,3,2,1,2,3,4
2.9565217391304346,2,1,2,4,5,3,2,1,1,1,1,3
1.8837209302325582,1,3,1,3,3,2,3,1,2,3,3,2
2.522727272727273,3,1,2,4,4,3,3,1,1,2,4,2
2.2564102564102564,2,1,1,4,4,4,3,1,3,3,4,6
2.857142857142857,2,1,2,4,4,4,3,1,3,1,4,2
3.0625,3,1,1,3,3,2,3,2,3,3,3,4
3.6122448979591835,3,2,2,4,3,4,3,2,2,3,3,3
2.257142857142857,3,1,1,4,4,2,3,1,1,2,3,2
1.1162790697674418,3,3,3,4,5,5,3,2,3,3,3,5
2.5,2,1,1,4,4,2,2,1,1,3,4,4
4,2,2,2,5,5,5,3,3,2,3,3.126348228043143,3
3.5681818181818183,3,1.6265060240963856,2,4,3,3,3,1,3,2,2,4
2.6136363636363638,2,3,1,4,4,4,2,2,2,3,4,3
2.7612828996340424,2,1,1,3,2,2,2,1,1,1,4,1
3.1219512195121952,3,3,3,5,3,5,3,3,2,3,4,6
3.9318181818181817,2,1,1,4,4,3,3,1.6111111111111112,2,3,3,2
2.257142857142857,2.1887072808320953,1.6265060240963856,2,3,3,2,3,1,2,2,4,2
2.6458333333333335,3,1,2,4,5,3,3,3,3,2,4,4
1.6818181818181819,3,1,1,4,4,3,3,3,2,1,3,3
2.375,3,1,1,3,3,2,2,2,3,3,4,3
2.0930232558139537,2,1,1,4,3,3,2,1,1,2,3,2
3.5208333333333335,2,2,1,4,4,3,3,3,1,3,3,5
3.6842105263157894,1,1,1,5,4,2,3,3,1,2,4,1
3.608695652173913,2,3,2,4,3,3,3,3,1,2,4,3
1.4411764705882353,2,2,2,4,4,4,3,2,1,3,3,3
3.311111111111111,1,1,1,4,4,4,3,1,2,3,4,5
2.25,3,1,3,4,4,4,2,1,1,2,3,3
4,3,1,1,5,4,2,3,1,1,2,4,2
3.3125,2,2,2,3,3,4,3,2,1,2,4,2
1.9069767441860466,3,1,2,4,3,3,3,2,2,1,3,2
2.9782608695652173,3,2,1,4,4,4,1,1,1,4,4,4
2.152173913043478,2,2,2,4,4,4,3,3,2,3,3,7
2.2666666666666666,3,2,1,4,4,4,3,1,2,3,2,3
3.9347826086956523,2,1,2,3,4,3,3,2,2,3,4,4
3.72,2,2,1,5,5,5,3,2,2,3,3,4
3.255813953488372,2,2,1,4,4,2,3,2,2,2,4,3
1.826086956521739,1,2,1,5,4,4,1,1,1,2,4,1
1.8837209302325582,2,1,2,4,4,3,2,1,1,2,2,2
3.41025641025641,2.1887072808320953,1.6265060240963856,1.5618479880774963,3.8462664714494874,3.696879643387816,3.3194650817236258,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
3.3777777777777778,3,1,2,4,2,2,1,1,1,1,1,2
2.076923076923077,3,1,3,4,5,3,3,1,2,2,2,3
3.4782608695652173,2.1887072808320953,1.6265060240963856,1.5618479880774963,3.8462664714494874,3.696879643387816,3.3194650817236258,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
2,2.1887072808320953,1.6265060240963856,1.5618479880774963,3.8462664714494874,3.696879643387816,3.3194650817236258,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
2.5714285714285716,2,1,1,5,3,3.3194650817236258,3,1,3,3,3,1
2.2444444444444445,2,2,1,3,4,3,2,2,2,3,4,5
2.888888888888889,3,2,3,5,4,4,3,1,2,4,4,5
2.5454545454545454,1,1,1,4,4,3,2,1,1,2,4,4
3.238095238095238,3,1,3,4,4,4,3,1,1,3,4,3.249621785173979
3.6041666666666665,2,2,2,4,4,4,3,2,2,3,4,5
1.9047619047619047,2.1887072808320953,1.6265060240963856,2,4,4,4,2,2,1,3,4,5
1.9736842105263157,1,2,1,3,2,3,1,3,1,2,3,2
3.34,3,2,1,4,2,3,2,1,1,2,2,3
2.55,3,1,3,4,3,3,3,1,1,1,3,1
1.0714285714285714,1,1,1,4,3,3,3,1,1,2,3,4
2.357142857142857,1,1,1,3,5,4,3,1,3,3,4,3
2.7612828996340424,3,1,1,3,2,2,2,1,1,1,2,8
2.4615384615384617,2,2,1,5,4,3,3,3,3,3,4,3
2.1666666666666665,3,2,1,4,4,4,3,3,1,2.325077399380805,3.126348228043143,3
3.8979591836734695,3,1,3,5,5,4,3,2,2,3,3,3
2.7612828996340424,3,2,2,3,5,3,2,2,1,1,3,4
2.4782608695652173,3,2,2,3,3,3,2,1,2,2,3,1
3.236842105263158,3,1,1.5618479880774963,4,3,3,2.611851851851852,1.6111111111111112,1.6681749622926094,3,4,3.249621785173979
3.183673469387755,2.1887072808320953,1.6265060240963856,1.5618479880774963,3.8462664714494874,3.696879643387816,3.3194650817236258,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
3.717391304347826,2,1,1,4,4,3,3,1,1.6681749622926094,2.325077399380805,3.126348228043143,4
3.9166666666666665,2,1,1,4,4,3,3,3,2,3,4,4
3.1951219512195124,3,2,3,4,4,3,3,1,2,3,4,3.249621785173979
2.7612828996340424,2,1,2,4,3,3,2,1,1,1,4,4
3.3191489361702127,3,2,2,4,3,5,3,1,3,3,4,5
1.7317073170731707,3,3,3,4,3,3,3,2,1,2,3,1
2.575,1,1,1,4,4,3,3,1,1,2,2,4
2.7142857142857144,3,3,1,3,4,3,3,1,2,2,4,1
3.604651162790698,1,1,1,5,3,3,3,1,1,2,3,3
3.1875,3,1,2,3,3,2,3,1,1,3,3,3
2.977777777777778,1,2,2,3,4,2,3,2,3,3,4,4
3.292682926829268,3,1,2,4,3,3,3,1,3,1,1,1
2.8125,2,2,2,4,4,3,3,1,1,3,4,3
3.78,2,1,1,4,3,3,2,3,2,3,2,5
2.875,2,2,3,3,2,3,3,3,3,2,4,2
2.0869565217391304,3,2,2,3,5,3,3,1,2,2,1,4
2.8333333333333335,3,3,3,3,3,3,2,1,3,2,2,3
3.4444444444444446,2,2,2,3,4,3,2,1,1,3,4,5
1.7333333333333334,2,1,1,4,5,3,2,1,1,1,1,3
2.361111111111111,2,1,2,3,3,3,2,2,1,2,4,3
2.911111111111111,3,1,2,3,3,3,3,2,2,3,4,3
2.5416666666666665,2,2,1,4,3,3,2,2,2,2,4,1
1.375,2,2,1,3,3,3,3,3,1,2,3,3
1.9736842105263157,2,2,1,3,3,2,2,1,1,1,4,3
3.2432432432432434,1,1,1,3.8462664714494874,3.696879643387816,3.3194650817236258,3,2,1,4,4,5
3.5555555555555554,1,3,1,4,4,3,3,3,2,3,3,3
3.2222222222222223,2,2,2,4,3,3,3,2,1,3,4,2
2.2432432432432434,1,1,2,3,3,3,2,2,2,2,2,3
2.2142857142857144,3,3,3,3,3,3,3,2,1,2.325077399380805,4,6
2.3947368421052633,3,1,2,4,5,5,3,3,3,2.325077399380805,3.126348228043143,4
2.8292682926829267,3,2,2,3,4,3,2,1,1,2,3.126348228043143,2
3.2142857142857144,3,1,2,3,4,3,2,3,2,1,1,4
2.75,2,1,2,4,4,4,2,1,1,3,2,4
2.127659574468085,3,1.6265060240963856,1,3,3,3,3,1,1,3,3,5
3.022222222222222,3,2,2,4,3,3,3,3,2,3,3,7
3.65,1,2,1,5,5,5,3,2,3,3,3,4
3.0416666666666665,3,2,2,4,3,4,3,1,3,2,4,2
2.9375,2,1,2,3,3,3,3,1,1.6681749622926094,2,4,3.249621785173979
2.292682926829268,3,3,3,4,5,4,2,2,3,1,4,1
3.68,2.1887072808320953,1.6265060240963856,1,5,4,2,2,1,2,3,4,4
2.7612828996340424,1,2,1,3,3,5,3,2,2,2,4,2
2.9069767441860463,3,1,1,4,3,3,3,2,1,2,3,2
2.1363636363636362,2,2,1,3,3,4,3,1,1,2,2,2
3.2291666666666665,1,1,1,5,3,5,2,2,1,3,3,2
3.4347826086956523,1,2,1,5,5,5,3,1,1,4,1,3
3.3125,2,2,2,4,3,5,2,3,3,3,4,3
2.6875,2,1,1,4,3,3,3,2,1,1,3,1
1.7435897435897436,2,1,1,3,5,3,3,2,2,4,2,5
3.411764705882353,2,1,2,3,3,2,3,1,1,2,3,6
2.7612828996340424,3,3,1,3,4,3,3,3,3,2,2,3
1.0930232558139534,2,1,2,3,4,4,3,2,3,3,3,3
1.4482758620689655,3,2,2,3,2,4,2,1,1,1,1,1
3.186046511627907,2.1887072808320953,1,2,4,4,2,2,1,1,1,4,1
2.4489795918367347,2,1,2,4,4,4,3,1,3,2,3,3
3.2142857142857144,2,1,2,4,3,3,2,2,2,2,4,3
1.8461538461538463,2,1,1,3,3,3,2,1,2,3,3,3
2.3076923076923075,1,1,1.5618479880774963,3,4,3,2.611851851851852,1.6111111111111112,1.6681749622926094,2.325077399380805,3.126348228043143,3.249621785173979
2.8125,1,1,1,3,3.696879643387816,2,3,1,1,1,3.126348228043143,1
2.097560975609756,2,1,1,5,4,3,2,1,1,3,2,4
