id,i1,i2,i3,ss1,ss2,ss3,se1,se2,d1,d2,d3,d4,q1,q2,q3,q4,q5
p185,-3,-3,-6,-11,-3,0,-12,-19,25,21,-1,18,-4,-11,-1,-4,-5
p186,-3,14,-14,12,22,20,-17,-29,4,5,9,7,-15,-11,-16,-16,-22
p187,-19,7,-18,4,0,-23,-5,-8,-1,3,8,-1,0,-1,-6,-6,-6
p188,-15,-6,-14,-3,-3,-15,16,17,-9,-11,-19,-9,8,10,8,6,2
p189,19,7,6,17,-18,-5,40,25,-13,-22,-9,-26,25,18,27,17,16
p190,-9,4,4,-6,-23,-12,43,25,-20,-6,-14,-16,33,10,21,7,14
p191,-8,1,4,-9,-17,-34,10,-10,-19,-25,-21,-31,21,35,8,30,32
p192,-9,-3,-1,-11,-1,4,-11,-19,7,4,14,-9,-4,-24,-4,3,6
p193,13,9,20,13,7,-8,15,17,-42,-50,-38,-54,33,34,31,19,30
p194,14,2,-19,14,3,5,-23,-6,-10,-24,3,-9,17,6,17,-4,34
p195,12,3,4,-6,4,-7,18,9,-13,-10,0,-9,10,6,1,9,6
p196,9,3,2,-6,0,8,5,9,5,0,-11,-9,0,4,12,8,6
p197,-17,4,-12,-12,-11,-6,-11,5,1,4,-12,3,28,23,5,19,29
p198,21,29,11,26,7,-2,-5,-3,8,-8,-26,4,32,3,15,14,3
p199,-6,21,11,-5,6,8,-24,-9,20,16,22,26,-34,-9,-26,-17,-41
p200,14,-3,22,2,-5,12,3,12,19,20,10,21,-16,-6,-16,-30,-8
p201,16,28,14,37,35,45,-20,-19,50,20,40,35,-44,-55,-54,-69,-35
p202,-17,6,-4,-13,-9,-7,1,5,4,14,15,3,6,-11,15,-7,-2
p203,-3,-2,4,-18,-9,-20,27,3,-1,-6,-16,-29,22,22,28,15,31
p204,-7,-13,8,10,30,18,3,5,23,22,46,7,-24,-31,-20,-12,-23
p205,2,-6,-4,13,14,14,-6,1,3,31,19,10,-4,-10,-18,-29,-15
p206,-13,-8,-11,-13,-5,-11,-5,10,-24,-17,-34,-30,19,44,23,36,31
p207,-17,7,-13,22,15,17,0,6,-2,-8,-3,5,1,15,12,10,10
p208,12,4,10,6,18,-7,11,0,21,18,11,10,-37,-37,-40,-19,-21
p209,6,5,15,-5,-23,20,6,16,-5,-18,3,-6,20,14,20,19,28
p210,22,22,21,20,7,25,7,17,19,-5,-12,-8,-10,14,9,-9,16
p211,-15,-4,-20,-2,24,8,4,9,-10,-5,0,-5,-2,4,7,10,8
p212,5,18,20,2,7,10,16,4,0,-10,0,-6,-2,-1,-5,-4,-5
p213,0,2,4,0,7,-6,16,-15,3,1,19,11,2,12,14,-4,19
p214,0,12,4,0,27,-3,-1,12,-8,16,-25,16,-39,-26,-18,-41,-20
p215,14,-3,14,1,-8,10,10,15,18,-6,0,-3,-10,-2,13,7,5
p216,-3,-29,-15,-10,-7,-10,16,-10,-30,-14,-16,-23,7,46,25,14,20
p217,27,24,24,20,19,6,-11,-17,-3,2,11,-4,-10,-3,-1,19,-4
p218,-20,-16,0,0,-2,0,22,18,-19,-18,-16,-25,34,21,25,35,20
p219,-13,3,-10,13,13,-2,-5,-2,-2,13,23,12,-6,-9,-3,-5,-2
p220,15,5,17,-13,-10,-7,6,-5,24,19,20,5,-25,-20,-10,-6,-26
p221,3,17,0,-11,-4,-7,-6,28,-18,-23,-16,-30,23,15,20,18,-9
p222,-6,-3,21,7,11,14,9,-20,5,-1,15,-7,-22,-27,-22,-34,-26
p223,20,8,3,6,3,3,-1,5,3,-28,-20,-16,21,10,18,9,31
p224,22,22,7,0,16,14,4,-3,13,13,-13,11,-7,-11,-18,-7,-11
p225,7,-12,-9,-23,1,0,19,15,12,5,2,-9,-1,8,16,7,12
p226,-16,-13,-9,-10,18,-13,-1,9,37,-12,10,3,-22,-14,-11,-4,7
p227,-1,-4,-7,9,3,-4,-14,12,16,9,31,29,2,2,-6,1,5
p228,1,1,-4,-19,6,-24,11,23,7,8,4,-10,2,1,6,12,8
p229,-2,12,1,-32,-21,-17,25,46,-14,-20,-9,-20,31,32,33,22,19
p230,17,26,18,4,19,9,-3,2,13,21,38,27,-24,-18,0,-12,-18
p231,-10,-7,-8,-17,3,-9,-3,-18,17,15,0,0,15,-10,5,0,-11
p232,15,10,-2,6,24,22,2,-9,-3,-1,5,17,-10,6,-14,-7,6
p233,-4,6,-7,11,-4,8,25,-13,-20,-31,-8,-21,33,8,4,-8,2
p234,10,13,-1,10,13,23,-12,-1,29,26,25,43,-21,-20,-42,-21,-22
p235,-1,16,8,18,-7,-5,14,-17,8,-3,3,16,-5,-28,-23,-19,-1
p236,3,8,8,-2,-15,8,-16,2,11,23,2,10,-27,-32,-28,-40,-25
p237,-7,23,30,29,17,25,-19,-12,-4,-14,-9,5,5,6,1,-20,-16
p238,-6,3,-9,-21,-12,-9,14,0,-31,-20,-6,-23,15,30,3,42,25
p239,-1,2,-2,9,13,-1,-4,-11,-7,19,5,-2,-21,-26,-17,-11,6
p240,0,3,-4,10,12,7,-9,-1,11,6,27,4,-23,-22,-6,-21,-10
p241,-9,-15,-3,2,12,2,18,33,3,28,-12,12,5,-5,7,10,1
p242,-3,-3,-2,7,2,23,-20,-2,-11,0,-6,-29,-7,-11,-9,3,-18
p243,-13,-18,-18,-23,17,2,-13,-2,-17,-21,-19,-3,1,25,8,20,0
p244,2,-11,-8,15,-15,-5,4,1,-20,0,-14,-17,9,12,-7,7,15
p245,27,13,-16,-7,15,11,14,3,5,-1,4,23,-15,19,15,13,-14
p246,14,3,-10,1,-9,-9,-2,5,-26,-36,-18,-11,4,-13,7,-1,5
p247,27,21,42,9,16,13,24,5,-14,-12,-12,3,-24,-27,-15,-32,-4
p248,-13,22,-27,-26,-53,-9,16,12,-43,-26,-29,-23,15,32,21,22,36
p249,5,-5,-7,19,21,5,16,13,-22,-21,-16,-14,23,11,7,23,34
p250,4,2,-6,8,9,23,3,-1,-1,-15,2,-13,25,5,39,35,20
p251,10,-16,3,5,17,-14,-26,-16,9,5,14,2,-10,-11,-5,3,2
p252,9,9,7,-2,-11,-6,19,-2,18,3,14,2,-11,7,16,-12,3
p253,4,-7,-7,0,-14,-29,2,-5,6,16,26,15,15,-5,11,10,1
p254,13,22,17,3,9,-24,-21,-27,-7,-14,8,8,38,8,23,18,16
p255,-7,-14,-10,-2,-13,-2,-51,-32,6,7,5,6,9,-10,8,2,3
p256,-8,-21,-10,11,-2,-28,9,-9,-17,-5,-24,-13,2,0,10,-7,-3
p257,5,7,-3,-21,-3,6,-13,3,3,-15,-1,1,0,-7,14,1,1
p258,29,17,18,-11,-3,-23,6,1,5,5,-1,-3,9,2,3,-6,10
p259,-38,-11,-16,20,11,36,-47,-48,2,13,34,25,-11,-17,-9,-23,-11
p260,5,-7,6,0,-10,29,-27,-25,11,18,29,1,-23,-21,-15,-5,-33
p261,9,-6,19,-1,2,-2,28,13,-4,4,14,-2,-10,3,10,-5,13
p262,-4,-1,-3,-19,-17,-1,42,36,-14,-37,-34,-15,32,29,5,35,28
p263,0,12,14,6,5,19,23,0,33,23,13,-6,-1,-7,0,1,-29
p264,-1,7,-16,9,4,8,-15,9,14,-16,10,17,-26,-2,0,5,-14
p265,-7,-9,5,27,28,17,27,14,-1,12,-4,-5,-9,8,7,-15,5
p266,-14,5,7,-17,-27,-11,-16,-7,10,-4,4,25,8,10,0,15,21
p267,-12,-9,5,27,-26,-1,11,11,9,4,15,-9,8,-6,7,6,1
p268,6,9,5,5,-7,-1,1,11,3,-8,3,0,-4,7,-5,6,-10
p269,14,17,16,-20,-14,-20,17,7,-14,-37,-28,-25,27,25,53,12,39
p270,10,14,10,3,11,-18,-8,10,18,4,-2,7,11,-7,1,0,7
p271,-2,15,1,6,20,31,-3,-6,46,45,20,48,-49,-58,-41,-40,-42
p272,-17,-30,-19,-25,-18,-4,20,19,15,-2,18,7,-7,5,6,19,13
p273,-21,-18,-7,-18,-12,-30,-1,24,14,-14,-16,-21,15,14,-23,14,10
p274,1,-15,-11,8,13,16,-12,7,-2,5,3,-11,3,10,-4,-14,-10
p275,4,6,-5,11,4,-7,2,-6,4,1,6,1,-11,-11,5,-10,-16
p276,16,8,14,-2,-25,0,5,-9,-16,-9,-7,17,-17,-34,-16,-8,-14
p277,-11,6,-4,5,1,0,-4,1,3,-12,-4,-27,31,14,19,14,25
p278,16,2,8,-2,14,9,-19,-22,-6,11,-11,4,-6,-13,-10,-7,-12
p279,7,-11,-17,-58,-21,-29,-5,21,-18,-1,-23,-12,26,19,19,22,20
p280,21,0,0,0,-16,-15,24,23,-22,-25,-36,-23,28,18,27,32,31
p281,25,10,41,-3,-1,8,48,24,-17,5,-14,10,-30,-14,-4,-13,-7
p282,-4,-21,-7,2,-19,-3,-10,8,-16,-13,-18,-17,-2,3,4,1,9
p283,2,-14,0,4,11,15,-31,-20,9,1,5,9,-17,-15,-16,-14,-16
p284,-5,9,5,14,3,-5,2,12,11,3,10,2,-5,4,-11,7,1
p285,-17,11,-14,-5,5,1,-18,-3,-11,-15,-13,-18,41,28,31,11,23
p286,-3,13,6,5,-11,12,10,-4,21,19,43,28,-54,-53,-53,-42,-50
p287,-18,-6,-14,1,-4,13,10,16,-8,-24,-14,-17,30,60,26,34,34
p288,2,-8,-2,-17,9,3,1,6,-41,-4,-32,-33,23,22,20,4,17
p289,15,12,23,5,12,18,1,-1,5,20,11,-1,-16,-14,-8,-16,-26
p290,-1,-6,-3,-3,0,-3,24,31,-23,-9,-15,-26,14,3,12,11,16
p291,12,-11,-7,-18,-18,15,8,-4,-3,16,-14,-5,13,1,-5,-4,-7
p292,26,18,17,36,11,43,-40,-7,47,51,33,15,-51,-53,-66,-41,-48
p293,-16,-2,-27,-11,3,-8,-14,10,7,-9,11,-12,2,-24,2,4,0
p294,-11,-4,8,-1,0,-2,30,23,6,-9,2,-14,-1,21,14,-2,-14
p295,24,3,17,5,15,17,-27,-24,33,18,34,27,-20,-31,-33,-29,-45
p296,18,2,11,-6,2,6,-13,-7,-3,-19,4,9,-21,-10,-12,-24,-19
p297,-20,-15,-20,-6,-13,1,-20,-22,7,4,-3,13,-8,4,-18,2,-6
p298,-9,-9,-3,19,11,-12,4,8,-7,-17,-25,-19,8,9,11,2,26
p299,23,14,22,-1,11,15,-22,-23,2,9,16,-19,-25,-24,-14,-11,-19
p300,-4,-9,8,3,-9,-15,2,-5,-12,-24,-23,-17,8,9,9,18,20
