id,reoffend,length,severity,age,number,parent_offender
p87,yes,8.2998,9.265,17.424,7.2258,yes
p88,no,18.827,10.099,9.0593,3.0789,no
p89,yes,11.612,2.2693,13.21,2.9157,NA
p90,no,12.129,NA,13.759,6.0147,no
p91,no,19.925,9.6853,11.713,2.7751,no
p92,no,20.169,5.5379,11.557,1.8498000000000001,yes
p93,no,15.037,7.5964,15.112,2.6472,no
p94,no,21.286,2.1289,12.242,1.7815,yes
p95,yes,18.081,6.0833,12.766,3.7298,no
p96,no,21.026,5.6496,14.546,3.0442,no
p97,yes,10.083,8,10.643,5.1031,yes
p98,no,18.769,9.8989,13.035,4.6535,yes
p99,no,18.172,7.4211,15.176,3.347,yes
p100,yes,15,6.8344,13.561,3.8343,yes
p101,yes,9.9132,9.4287,12.502,5.6812,yes
p102,yes,13.645,7.9062,13.951,2.7082,no
p103,no,16.44,7.0992,12.485,3.722,no
p104,no,22.242,1.7214,15.316,NA,no
p105,no,17.398,7.764,11.307,4.0072,yes
p106,yes,11.025,8.7146,14.943,5.5626,yes
p107,no,17.559,8.2959,11.417,2.083,yes
p108,no,22.095,7.1185,11.871,0.49816,yes
p109,yes,17.877,4.462,9.6655,5.6794,no
p110,yes,12.4,6.1863,16.755,5.7819,yes
p111,no,17.955,7.8686,12.069,1.5363,yes
p112,no,19.67,7.8874,12.279,NA,no
p113,no,20.246,5.2895,13.421,2.862,yes
p114,no,18.883,9.8872,11.183,2.9707,no
p115,yes,9.5501,8.275,15.021,3.5781,yes
p116,yes,13.299,7.2811,14.321,5.049,no
p117,yes,12.778,8.3408,12.766,8.0463,NA
p118,no,18.243,7.2405,10.758,2.1105,yes
p119,no,20.304,4.92,9.3236,2.2361,no
p120,yes,12.268,7.7677,15.032,6.1912,yes
p121,no,23.966,2.6286,14.385,1.1817,yes
p122,yes,17.636,6.0438,9.666,6.9306,no
p123,yes,15.985,7.3772,13.775,0.83473,no
p124,no,17.949,7.0676,11.328,2.6781,no
p125,yes,9.8208,7.3535,12.097,3.0967,yes
p126,no,12.975,8.7254,12.144,2.9984,yes
p127,yes,8.1861,9.2491,14.473,8.9888,yes
p128,yes,7.2082,4.2233,16.969,2.7643,yes
p129,no,NA,6.9284,13.185,7.1531,yes
p130,no,23.391,3.5959,9.111,2,yes
p131,no,15.51,6.3653,13.54,3.4416,no
p132,no,18.681,4.6671,14.536,3.1079,no
p133,no,16.272,NA,13.75,3.4567,no
p134,no,17.814,9.4262,13.734,0.48713,no
p135,no,20.244,7.0712,8.4392,3.7375,no
p136,yes,11.433,5.4977,17.301,4.2506,yes
p137,yes,16.204,5.3654,13.018,6.6235,yes
p138,yes,20.036,5.9195,10.276,2.4689,yes
p139,yes,9.7268,7.5295,14.995,5.8739,yes
p140,yes,7.8524,6.9235,14.673,6.9603,no
p141,no,16.918,6.8943,9.2156,0.76324,no
p142,yes,13.993,5.2124,10.503,2.9604,no
p143,no,23.625,4.4358,5.0177,3.9266,no
p144,no,14.306,9.2768,13.836,4.7955,no
p145,yes,11.499,7.1463,10.603,3.6417,yes
p146,no,21.408,8.0897,9.5951,NA,no
p147,yes,10.8,6.4385,16.921,5.5746,yes
p148,no,17.996,8.1179,12.274,3.8451,yes
p149,no,18.533,5.253,15.851,4.0422,yes
p150,no,19.041,7.3797,10.598,2.2234,no
