id,activity,aggressive_vocal,speed,lookaway,cliffs,jibs,lessons
p58,snowboard,13.198,13.264,27.445,6.6098,3.5734,3.1376
p59,snowboard,8.6741,13.202,22.654,7.3146,5.6816,3.327
p60,snowboard,7.9845,13.085,27.735,8.5081,6.7644,3.3658
p61,snowboard,8.6301,12.967,24.454,4.5053,5.0904,3.4334
p62,snowboard,10.25,7.446,22.157,4.4831,4.9365,3.4786
p63,snowboard,9.3524,13.008,24.523,8.2436,7.4404,3.5684
p64,snowboard,8.0554,13.699,28.356,4.9338,7.814,3.589
p65,snowboard,9.0066,12.185,17.762,9.322,1.4889,3.6104
p66,snowboard,11.283,14.975,26.562,5.8631,8.8519,3.6719
p67,snowboard,9.9448,6.7176,22.878,4.2034,7.7177,3.7571
p68,snowboard,10.369,9.3525,20.406,4.8638,8.8475,3.8076
p69,snowboard,10.545,9.4778,27.015,5.159,6.3695,3.8128
p70,snowboard,6.6832,11.766,31.602,6.9586,5.4734,3.8431
p71,snowboard,7.3727,12.756,23.731,6.807,7.3294,3.8504
p72,snowboard,8.5748,12.2,26.2,8.2494,7.2356,3.8613
p73,snowboard,10.929,13.794,20.869,7.5081,10.539,3.9621
p74,snowboard,6.6385,13.916,20.551,10.814,6.554,4.0165
p75,snowboard,7.7554,16.478,21.162,7.5072,8.3482,4.0376
p76,snowboard,11.219,5.5198,24.158,8.4398,6.1658,4.1595
p77,snowboard,9.7393,11.153,27.335,5.5293,8.614,4.1761
p78,snowboard,-0.16465,10.575,22.579,7.3146,7.8868,4.2281
p79,snowboard,7.548,16.118,25.978,3.0207,8.231,4.2495
p80,snowboard,8.9398,10.091,17.982,9.5486,6.8887,4.2732
p81,snowboard,8.3207,11.374,25.819,7.5762,3.8117,4.2965
p82,snowboard,5.4006,11.002,24.586,6.4502,6.5276,4.3503
p83,snowboard,7.4273,11.929,24.299,7.0465,5.226,4.3804
p84,snowboard,10.545,12.958,26.594,5.7301,9.169,4.6339
p85,snowboard,7.0304,14.441,26.031,4.0293,7.7154,4.6783
p86,snowboard,6.8893,13.248,25.845,1.0725,13.347,4.7236
p87,snowboard,4.1646,13.481,23.432,5.7879,4.3964,4.9032
p88,snowboard,10.595,15.652,29.374,6.3222,7.6417,4.9475
p89,snowboard,2.5066,15.077,22.254,4.7988,4.9017,4.9906
p90,snowboard,10.929,12.81,24.839,2.7755,9.5792,5.0274
p91,snowboard,11.206,11.116,29.496,5.0994,7.213,5.0515
p92,snowboard,9.3648,17.163,28.737,6.5606,8.7972,5.1282
p93,snowboard,8.9263,13.818,26.254,7.5954,8.3005,5.2412
p94,snowboard,8.9703,15.494,28.059,5.0033,9.2593,5.3273
p95,snowboard,13.315,9.1526,23.774,3.3633,9.7785,5.4424
p96,snowboard,3.4354,12.938,22.656,7.305,6.5297,5.5083
p97,snowboard,7.6856,5.2852,25.843,6.1501,1.9812,5.9105
p98,snowboard,8.6993,15.077,24.874,8.6586,9.6984,6.167
p99,snowboard,11.448,17.293,27.767,9.7588,7.3962,6.2816
p100,snowboard,9.0011,17.975,28.147,4.6539,11.423,6.7434
p101,ski,4.4983,9.2293,21.69,5.7244,4.9471,-1.0611
p102,ski,4.2364,5.9475,26.747,5.5266,3.984,-0.97452
p103,ski,0.80487,6.0634,26.038,1.8975,2.6823,-0.40802
p104,ski,11.353,7.6082,24.832,6.0931,5.9788,0.97296
p105,ski,12.258,9.201,28.164,4.7474,4.4542,1.0995
p106,ski,3.3986,7.9583,23.795,3.0743,5.3859,1.5561
p107,ski,9.6859,4.0761,29.921,2.5433,7.8784,1.6817
p108,ski,8.0678,13.205,28.967,2.6154,7.2038,1.6947
p109,ski,11.792,9.0671,25.679,5.1961,9.7211,1.744
p110,ski,6.9242,7.5026,28.505,4.3684,3.9065,1.7946
p111,ski,9.653,13.887,25.042,0.95066,2.9979,1.8798
p112,ski,7.2193,11.015,27.996,9.8435,7.708,1.9379
p113,ski,5.3591,8.5466,26.192,7.7128,4.3204,1.9546
p114,ski,4.395,12.506,23.325,7.8509,6.8193,2.0208
p115,ski,5.2138,11.562,29.146,5.1151,7.5425,2.0881
p116,ski,3.5594,9.3628,31.794,6.4188,6.6597,2.0974
p117,ski,6.0346,15.948,27.908,5.2574,8.7573,2.2977
p118,ski,13.386,12.239,26.056,4.621,1.6081,2.3689
p119,ski,13.163,8.5522,27.069,8.0488,8.0481,2.4144
p120,ski,7.0104,14.423,24.099,0.10591,6.9514,2.426
p121,ski,9.9647,10.519,28.083,3.4798,6.6319,2.4689
p122,ski,2.3342,10.818,26.952,5.503,7.9695,2.4756
p123,ski,3.3375,4.9364,26.456,3.1339,3.2448,2.6221
p124,ski,7.1845,11.617,28.942,5.4549,9.689,2.6407
p125,ski,12.045,11.554,26.853,8.142,6.5444,2.6978
p126,ski,11.024,10.121,23.44,1.5569,3.8357,2.6987
p127,ski,6.1301,12.346,27.303,4.9905,6.0503,2.708
p128,ski,15.076,12.558,20.807,10.634,12.25,2.8407
p129,ski,5.9407,13.482,26.319,7.3336,8.3416,2.8543
p130,ski,11.669,10.957,22.441,3.6184,6.1894,2.936
p131,ski,3.5053,5.2162,24.921,4.1953,3.2309,2.9911
p132,ski,9.5908,9.2446,24.782,8.2428,5.2947,3.0247
p133,ski,12.55,17.263,24.452,3.4561,5.5424,3.0432
p134,ski,3.6676,4.8503,24.945,5.2944,4.9409,3.1837
p135,ski,7.1882,11.892,22.991,5.9375,5.9081,3.1877
p136,ski,7.2613,15.161,19.93,1.6799,2.938,3.3288
p137,ski,9.373,10.771,32.362,8.4757,7.7445,3.4017
p138,ski,6.8954,5.7208,24.719,9.8592,6.77,3.4647
p139,ski,8.9983,6.2933,27.63,1.6373,3.8348,3.5106
p140,ski,10.504,13.973,21.86,11.02,11.535,3.5592
p141,ski,4.4699,6.0421,29.668,8.344,7.0551,3.5919
p142,ski,11.466,8.078,25.542,4.5892,6.0264,3.6617
p143,ski,7.9822,7.2043,29.897,4.702,5.5349,3.6704
p144,ski,8.6049,11.296,23.114,6.6197,6.959,3.7051
p145,ski,16.92,17.584,32.274,6.3211,9.0703,3.7569
p146,ski,8.6735,10.136,24.663,9.6063,7.955,3.7574
p147,ski,6.417,12.173,29.642,7.5605,8.9149,3.7677
p148,ski,16.055,2.4482,31.902,4.8407,9.6791,3.8066
p149,ski,6.4141,7.2974,28.247,6.3846,10.574,3.8269
p150,ski,3.0619,10.801,22.858,5.3475,5.6237,3.9215
p151,ski,11.472,8.3684,25.464,5.9007,4.9804,3.937
p152,ski,10.571,12.916,31.898,3.1844,7.7018,3.9703
p153,ski,5.5048,13.168,28.435,8.9503,9.1977,4.0601
p154,ski,6.3455,10.215,28.971,4.1961,8.2957,4.1607
p155,ski,3.7563,14.246,21.36,3.9838,9.301,4.1906
p156,ski,10.413,13.93,25.398,9.5576,7.3531,4.2548
p157,ski,8.5591,9.3152,24.312,4.0881,8.0798,4.3169
p158,ski,5.7431,9.3774,26.745,1.9179,7.6751,4.4078
p159,ski,6.9659,10.563,26.797,6.6218,6.5429,4.4239
p160,ski,6.9191,9.2712,26.086,9.1283,7.7805,4.5358
p161,ski,9.3144,12.569,23.749,3.8938,7.4168,4.5442
p162,ski,4.0428,11.418,25.502,6.155,8.5695,4.5733
p163,ski,8.0964,9.5276,27.502,4.7419,8.2186,4.5882
p164,ski,9.2559,11.96,27.687,7.7141,8.7908,4.6571
p165,ski,13.085,8.3878,32.851,9.6406,7.6247,4.8225
p166,ski,9.9443,8.9892,22.497,7.7914,11.376,4.8371
p167,ski,6.9162,13.791,21.532,8.1175,6.4397,4.8399
p168,ski,7.6589,6.8744,26.199,6.8934,5.9131,4.8776
p169,ski,4.9577,5.8611,17.721,1.7786,7.4274,4.882
p170,ski,6.7537,10.979,24.917,6.9204,6.6817,5.1364
p171,ski,5.2005,10.168,27.157,4.89,7.6435,5.1438
p172,ski,5.4576,10.137,20.996,2.6043,11.292,5.1953
p173,ski,14.607,9.174,27.569,5.2875,11.151,5.208
p174,ski,6.9052,5.9768,29.563,2.5455,6.923,5.2183
p175,ski,11.542,9.5213,33.018,4.5447,7.1654,5.2349
p176,ski,11.927,12.467,28.113,7.7031,7.9403,5.3637
p177,ski,6.5473,14.129,28.549,8.8465,5.4765,5.3873
p178,ski,8.2778,12.13,24.49,7.3331,5.307,5.4445
p179,ski,8.8927,12.364,29.337,5.419,8.1669,5.6671
p180,ski,6.9297,6.0729,25.093,3.1492,5.5903,5.7049
p181,ski,11.197,12.022,26.198,5.6557,8.9556,5.8947
p182,ski,11.926,11.937,28.496,11.275,8.6476,5.9699
p183,ski,8.7253,10.548,21.169,9.0067,6.2885,5.9806
p184,ski,10.758,6.288,21.45,5.8727,4.4598,6.0382
p185,ski,9.0506,11.153,31.529,7.6515,7.3536,6.0589
p186,ski,8.2679,9.4027,26.109,5.8467,6.8265,6.0743
p187,ski,8.0458,9.4018,26.528,6.2194,8.9393,6.179
p188,ski,7.2735,6.2949,23.002,9.6244,6.1481,6.2018
p189,ski,9.3941,6.0831,26.04,8.5745,10.546,6.2099
p190,ski,6.2477,14.259,27.624,5.7638,6.6343,6.2206
p191,ski,7.6666,12.131,28.086,7.4533,7.3221,6.2377
p192,ski,11.225,11.017,26.739,7.716,9.2182,6.4218
p193,ski,8.5548,17.063,31.278,6.967,7.4698,6.6507
p194,ski,6.5768,15.566,34.544,7.0377,5.6765,6.8176
p195,ski,10.789,9.6745,34.317,8.8168,8.1,6.8195
p196,ski,4.4014,12.84,29.186,8.2687,7.9248,6.9155
p197,ski,12.719,13.228,28.943,6.5687,10.333,6.9759
p198,ski,6.3014,11.314,30.008,5.6437,5.0772,7.2956
p199,ski,7.3816,6.4143,26.219,6.7996,9.0161,7.3481
p200,ski,7.5927,14.103,27.153,7.3148,8.5892,7.7402
