id,team,num_monsters,previous_exposure,hits
p106,Team 3,16,Yes,56.00752077217102
p107,Team 3,16,Yes,80.97498175735474
p108,Team 3,16,Yes,31.060999933433532
p109,Team 3,16,Yes,50.75157896156311
p110,Team 3,16,Yes,24.314829627227784
p111,Team 3,16,Yes,23.676160153102877
p112,Team 3,18,Yes,36.557749267768855
p113,Team 3,18,Yes,30.00004027957916
p114,Team 3,18,Yes,46.69270858879089
p115,Team 3,18,Yes,49.62780053253174
p116,Team 3,18,Yes,50.27694007987976
p117,Team 3,18,Yes,89.27769074554443
p118,Team 3,20,Yes,8
p119,Team 3,20,Yes,37.458170572471616
p120,Team 3,22,Yes,54.290438748550415
p121,Team 4,14,Yes,85.49103728408814
p122,Team 4,14,Yes,89.94776877517701
p123,Team 4,16,Yes,28.394640146446225
p124,Team 4,16,Yes,48.41677010650635
p125,Team 4,16,Yes,59.80812989349365
p126,Team 4,16,Yes,51.19829986686707
p127,Team 4,16,Yes,20.563080292892458
p128,Team 4,16,Yes,75.87957829589844
p129,Team 4,16,No,63.28067949409485
p130,Team 4,18,Yes,67.77230845565796
p131,Team 4,18,Yes,86.49965239639282
p132,Team 4,18,No,57.97936930770874
p133,Team 4,18,No,99.02177010650635
p134,Team 4,18,Yes,86.49965239639282
p135,Team 4,18,Yes,34.45677010650635
p136,Team 4,18,No,86.78932303543091
p137,Team 4,18,No,60.488678828430174
p138,Team 4,18,Yes,66.43912856216431
p139,Team 4,18,Yes,50.032641144943234
p140,Team 4,18,No,93.58086005325318
p141,Team 4,18,No,67.62922050590515
p142,Team 4,20,No,90.93544207687378
p143,Team 4,20,Yes,73.2725492012024
p144,Team 4,20,No,43.77157896156311
p145,Team 4,20,No,56.6845816242218
p146,Team 4,20,No,48.60173834915161
p147,Team 4,20,Yes,43.07009154434204
p148,Team 4,20,No,60.55150093193054
p149,Team 4,22,No,68.53661797637939
p150,Team 4,22,No,84.2067171775818
p151,Team 4,22,No,94.92102276916503
p152,Team 5,10,Yes,40.59917090530396
p153,Team 5,12,Yes,52.039390479278566
p154,Team 5,14,No,51.93817949409485
p155,Team 5,14,Yes,86.49965239639282
p156,Team 5,14,Yes,66.08315106506348
p157,Team 5,16,Yes,71.83466691131592
p158,Team 5,16,Yes,47.1184910118103
p159,Team 5,16,No,50.409560452651974
p160,Team 5,16,Yes,39.91513055915832
p161,Team 5,16,Yes,74.1590081893921
p162,Team 5,16,Yes,36.33439047927856
p163,Team 5,16,Yes,46.92653994674683
p164,Team 5,16,No,77.50242882843018
p165,Team 5,16,Yes,58.46797050590515
p166,Team 5,16,Yes,36.72178069229126
p167,Team 5,16,Yes,82.50708888168334
p168,Team 5,18,Yes,23.034000099849703
p169,Team 5,18,Yes,36.131970173072816
p170,Team 5,18,Yes,48.071260186386105
p171,Team 5,18,Yes,44.10312989349365
p172,Team 5,18,Yes,54.663869973373416
p173,Team 5,18,Yes,41.04937989349365
p174,Team 5,18,No,93.30514840240478
p175,Team 5,18,No,77.89330712432862
p176,Team 5,18,No,66.88236138458252
p177,Team 5,18,Yes,71.9847410118103
p178,Team 5,20,No,59.52893015975952
p179,Team 5,20,Yes,50.28043149108887
p180,Team 5,20,No,82.41984021301269
p181,Team 5,20,Yes,28.583099800300598
p182,Team 5,20,Yes,94.6348402130127
p183,Team 5,20,Yes,44.38232962722778
p184,Team 5,20,Yes,52.957258855056764
p185,Team 5,20,No,52.353491011810306
p186,Team 5,22,No,27.52911964054108
p187,Team 5,22,Yes,81.73230845565796
p188,Team 5,22,Yes,49.00309087867737
p189,Team 6,10,No,25.030280193042756
p190,Team 6,10,Yes,8.941379935097695
p191,Team 6,12,No,39.90465965385437
p192,Team 6,12,Yes,23.889049700450897
p193,Team 6,14,No,22.03237030620575
p194,Team 6,14,No,69.37771191711425
p195,Team 6,14,No,52.4477191745758
p196,Team 6,14,No,71.79278994674682
p197,Team 6,14,No,52.3814089881897
p198,Team 6,16,No,47.74668874855041
p199,Team 6,16,No,38.03751018638611
p200,Team 6,16,No,41.24481904144287
p201,Team 6,16,No,39.262499600601195
p202,Team 6,16,No,62.91073968048096
p203,Team 6,16,No,62.71878861541748
p204,Team 6,16,No,77.01383095855714
p205,Team 6,16,Yes,8.941379935097695
p206,Team 6,16,No,50.29089906806946
p207,Team 6,16,No,42.12429853553772
p208,Team 6,18,No,47.35929853553772
p209,Team 6,18,No,64.27882037277222
p210,Team 6,18,No,47.338360053253176
p211,Team 6,18,No,38.19456045265198
p212,Team 6,18,No,66.43214906806946
p213,Team 6,18,No,68.66226218338012
p214,Team 6,20,No,85.58178069229126
p215,Team 6,20,No,75.0175492012024
p216,Team 6,20,No,73.95659287567139
p217,Team 6,20,No,77.18135213012695
p218,Team 6,22,No,48.96469866867066
p219,Team 7,10,No,21.85089014644623
p220,Team 7,12,Yes,25.51538998003006
p221,Team 7,12,No,16.486759936761857
p222,Team 7,12,No,66.09013055915833
p223,Team 7,12,No,38.505169573974605
p224,Team 7,12,No,8
p225,Team 7,12,No,53.89606904144287
p226,Team 7,14,Yes,32.04866990680694
p227,Team 7,14,No,31.00166924114227
p228,Team 7,14,Yes,20.20360972042084
p229,Team 7,14,No,40.651518775177
p230,Team 7,14,No,40.00237922782898
p231,Team 7,16,No,77.42216298217774
p232,Team 7,16,Yes,77.92471984024048
p233,Team 7,16,No,43.220158988189695
p234,Team 7,18,Yes,8
p235,Team 7,18,Yes,69.20320792312621
p236,Team 7,18,No,69.95007037277222
p237,Team 7,18,No,48.765771437835696
p238,Team 7,18,No,95.69929127807617
p239,Team 7,18,No,38.33067057247162
p240,Team 7,18,No,84.84190106506348
p241,Team 7,20,Yes,12.092850003120304
p242,Team 7,20,Yes,8
p243,Team 7,20,No,70.28511271591186
p244,Team 7,20,No,93.52851218338013
p245,Team 7,22,No,88.87634154434204
p246,Team 7,22,Yes,12.958370014977456
p247,Team 8,14,No,65.00474101181031
p248,Team 8,14,No,83.78792090530396
p249,Team 8,14,No,69.99544207687379
p250,Team 8,14,No,82.72346984024048
p251,Team 8,16,No,93.43428069229127
p252,Team 8,16,No,62.55475885505676
p253,Team 8,18,No,73.11898701782226
p254,Team 8,18,No,92.17787856216431
p255,Team 8,18,No,95.70976218338014
p256,Team 8,18,No,51.85441890830994
p257,Team 8,18,No,61.34721984024048
p258,Team 8,18,No,77.11503861541748
p259,Team 8,18,No,80.09898701782227
p260,Team 8,20,No,69.01125685806275
p261,Team 8,20,No,58.0526589881897
p262,Team 8,20,No,56.84162856216431
p263,Team 8,20,No,89.21487197036744
p264,Team 8,20,No,70.1629632484436
p265,Team 8,20,No,83.15623175735473
p266,Team 8,20,No,98.39008095855714
p267,Team 8,20,No,78.22137330169677
p268,Team 8,20,No,99.02177010650635
p269,Team 8,20,Yes,97.22791031951904
p270,Team 8,20,No,93.20742882843018
p271,Team 8,20,No,88.9007714378357
p272,Team 8,20,No,77.15342749710084
p273,Team 8,20,No,90.95637723083496
p274,Team 8,22,No,76.66134154434204
p275,Team 8,22,No,84.14739314193726
p276,Team 8,22,No,98.39008095855714
p277,Team 8,22,No,76.3472410118103
p278,Team 8,22,No,97.02548834915162
p279,Team 8,22,No,88.87634154434204
p280,Team 8,22,No,94.06248175735473
p281,Team 8,22,No,67.60827869529724
p282,Team 9,12,No,75.66669207687379
p283,Team 9,14,No,79.56851218338012
p284,Team 9,14,No,72.74905053253174
p285,Team 9,14,No,77.27907170410157
p286,Team 9,14,No,87.04059813613891
p287,Team 9,16,No,77.30350159759521
p288,Team 9,16,No,90.64227669830322
p289,Team 9,16,No,75.76789973373413
p290,Team 9,18,No,45.16408954734802
p291,Team 9,18,No,35.52121950740814
p292,Team 9,18,No,96.02036797637939
p293,Team 9,18,No,90.59341691131593
p294,Team 9,18,No,50.189691411209104
p295,Team 9,18,No,55.54334946746826
p296,Team 9,18,No,70.72833888168336
p297,Team 9,18,No,64.35560146446228
p298,Team 9,18,No,31.026100798797607
p299,Team 9,18,No,58.81348042602539
p300,Team 9,18,No,72.85375292892456
p301,Team 9,18,No,69.61852276916504
p302,Team 9,18,No,78.05035739059448
p303,Team 9,20,No,91.60552010650635
p304,Team 9,20,No,67.2139089881897
p305,Team 9,20,No,67.76882037277221
p306,Team 9,20,No,92.01385213012695
p307,Team 9,20,No,90.16414973373413
p308,Team 9,20,No,61.137818375778195
p309,Team 9,20,No,75.10479786987305
p310,Team 9,20,No,84.45102276916504
p311,Team 9,20,No,64.60687989349366
p312,Team 9,20,No,83.07595925445557
p313,Team 9,20,No,93.01198968048097
p314,Team 9,20,No,92.31748175735474
p315,Team 9,20,No,57.58499960060119
p316,Team 9,20,No,76.25999234313964
p317,Team 9,22,No,99.02177010650635
p318,Team 9,22,No,77.56175952072144
p319,Team 9,22,No,82.531518775177
p320,Team 9,22,No,71.4856722366333
p321,Team 9,22,No,89.92682696456909
p322,Team 9,22,No,97.22791031951904
p323,Team 9,22,No,87.88866824264527
p324,Team 9,22,No,66.29254920120239
p325,Team 9,22,No,77.50242882843018
p326,Team 10,12,No,25.044240013313296
p327,Team 10,12,No,89.21487197036744
p328,Team 10,14,Yes,8
p329,Team 10,14,No,74.61271191711425
p330,Team 10,14,No,21.899749933433533
p331,Team 10,16,No,61.20412856216431
p332,Team 10,16,No,57.03357962722778
p333,Team 10,16,No,10.616580001664161
p334,Team 10,18,No,77.51638781661987
p335,Team 10,18,No,77.12550952072144
p336,Team 10,18,No,85.40030053253174
p337,Team 10,18,No,75.01406111831665
p338,Team 10,18,No,67.35002077217102
p339,Team 10,20,No,62.68389114494324
p340,Team 10,20,No,55.75275093193054
p341,Team 10,20,No,85.11062989349365
p342,Team 10,20,No,76.25999234313964
p343,Team 10,20,No,84.83491824264526
p344,Team 10,20,No,72.26394074554443
p345,Team 10,20,No,76.25999234313964
p346,Team 10,20,No,90.96684813613892
p347,Team 10,22,No,99.02177010650635
p348,Team 10,22,No,58.26206045265198
p349,Team 10,22,No,70.87841298217774
p350,Team 10,22,No,77.61061930770875
p351,Team 10,22,No,97.23139840240479
p352,Team 10,22,No,90.18509154434204
p353,Team 10,22,No,72.81186930770875
p354,Team 10,22,No,92.37331771011353
p355,Team 10,22,No,97.45825026626588
p356,Team 10,22,No,75.52011271591186
p357,Team 10,22,No,75.73998175735474
p358,Team 10,22,No,93.87053069229127
p359,Team 11,2,Yes,30.36649034614563
p360,Team 11,2,Yes,16.273869973373415
p361,Team 11,2,Yes,89.58480845565796
p362,Team 11,6,Yes,90.60388781661987
p363,Team 11,6,Yes,40.30252077217102
p364,Team 11,10,Yes,92.29653994674683
p365,Team 11,10,Yes,45.324631224822994
p366,Team 11,10,Yes,51.06567949409485
p367,Team 11,10,Yes,21.19477027292252
p368,Team 11,10,Yes,38.92047942752838
p369,Team 11,12,Yes,54.663869973373416
p370,Team 11,12,Yes,33.92280053253174
p371,Team 11,12,Yes,43.45399034614563
p372,Team 11,12,Yes,18.688950083208084
p373,Team 11,12,Yes,61.62293149108887
p374,Team 11,12,Yes,14.31598000998497
p375,Team 11,12,Yes,39.590560785484314
p376,Team 11,12,Yes,46.37861138458252
p377,Team 11,12,Yes,82.0603679763794
p378,Team 11,12,Yes,44.73133095855713
p379,Team 11,12,Yes,47.35581045265198
p380,Team 11,12,Yes,51.85791031951904
p381,Team 11,12,Yes,38.73201977367401
p382,Team 11,12,Yes,71.03895133132934
p383,Team 11,12,Yes,45.38745
p384,Team 11,12,Yes,22.667550033283234
p385,Team 11,12,Yes,78.25626744384766
p386,Team 11,12,Yes,29.905810452651977
p387,Team 11,14,Yes,66.91725885505676
p388,Team 11,14,Yes,30.422329627227782
p389,Team 11,14,Yes,77.41169207687378
p390,Team 11,14,Yes,42.37558029289246
p391,Team 11,14,Yes,33.891389480781555
p392,Team 11,14,Yes,35.48981011981964
p393,Team 11,14,Yes,86.66367882843018
p394,Team 11,14,Yes,53.934461251449584
p395,Team 11,14,Yes,74.6022410118103
p396,Team 11,14,Yes,48.04333888168335
p397,Team 11,14,Yes,44.86045992012024
p398,Team 11,14,Yes,94.92102276916503
p399,Team 11,14,Yes,59.98961005325317
p400,Team 11,14,Yes,26.11567057247162
p401,Team 11,14,Yes,40.28507037277222
p402,Team 11,14,Yes,36.17734021301269
p403,Team 11,14,Yes,26.8380998003006
p404,Team 11,14,Yes,67.96774760360718
p405,Team 11,16,Yes,33.17245
p406,Team 11,16,Yes,43.78902936096191
p407,Team 11,16,Yes,27.564020439338684
p408,Team 11,16,Yes,64.50566890830994
p409,Team 11,16,Yes,69.49986138458252
p410,Team 11,16,Yes,18.661030026626587
p411,Team 11,18,Yes,19.27177986021042
p412,Team 11,18,Yes,53.98680912132263
p413,Team 11,18,No,84.36027936096191
p414,Team 11,18,Yes,32.85834946746826
p415,Team 11,18,Yes,25.124510019969943
p416,Team 12,10,No,13.422539967548847
p417,Team 12,12,No,84.088062449646
p418,Team 12,12,No,44.74179853553772
p419,Team 12,12,No,47.914209920120236
p420,Team 12,12,No,74.50102669830322
p421,Team 12,12,No,68.29930186386109
p422,Team 12,14,No,77.32793149108886
p423,Team 12,14,No,68.81232962722778
p424,Team 12,14,Yes,40.19083888168335
p425,Team 12,14,No,71.15062989349366
p426,Team 12,14,No,19.425340379428864
p427,Team 12,14,No,79.04500685806275
p428,Team 12,14,No,8
p429,Team 12,14,Yes,87.7037
p430,Team 12,14,Yes,30.076819707107543
p431,Team 12,14,No,63.999620639038085
p432,Team 12,16,No,55.44912130470276
p433,Team 12,16,No,90.29677010650634
p434,Team 12,16,No,55.73530053253174
p435,Team 12,16,No,91.50780053253175
p436,Team 12,16,No,30.705020772171018
p437,Team 12,16,No,61.17969866867065
p438,Team 12,16,No,84.54175952072144
p439,Team 12,16,No,98.39008095855714
p440,Team 12,16,No,25.67244024629593
p441,Team 12,16,No,88.40519074554443
p442,Team 12,16,No,92.77816165084839
p443,Team 12,16,No,68.64132037277221
p444,Team 12,16,No,91.06806244964599
p445,Team 12,16,No,11.087730020385981
p446,Team 12,16,No,77.7118269645691
p447,Team 12,16,No,68.55057696456909
p448,Team 12,16,No,49.18805912132263
p449,Team 12,16,No,42.70363981361389
p450,Team 12,18,No,56.311150399398805
p451,Team 12,18,No,39.27297050590515
p452,Team 12,18,No,25.218739846897126
p453,Team 12,18,No,71.79278994674682
p454,Team 12,18,No,95.929631224823
p455,Team 12,18,No,68.69716298217773
p456,Team 12,18,No,36.59613981361389
p457,Team 12,18,No,94.73604786987305
p458,Team 12,18,No,73.88679127807617
p459,Team 12,18,No,50.29439047927856
p460,Team 12,18,No,88.0631722366333
p461,Team 12,18,No,67.84909287567139
p462,Team 12,20,No,37.185950332832334
p463,Team 12,20,No,63.479610053253175
p464,Team 12,20,No,75.21298834915162
p465,Team 12,20,No,92.0801589881897
p466,Team 12,20,No,17.40113981361389
p467,Team 12,20,No,52.71295992012024
p468,Team 12,20,No,63.210881224823
p469,Team 12,20,No,44.42420992012024
p470,Team 12,20,No,29.242710252952573
p471,Team 12,22,No,79.5056867515564
p472,Team 12,22,No,65.0012496006012
p473,Team 12,22,No,82.4547410118103
p474,Team 12,22,No,89.95823968048096
p475,Team 12,22,No,96.41822909469604
p476,Team 12,22,No,60.92144074554444
p477,Team 12,22,No,36.037740346145625
