salesperson,years_experience,female,sales,dealership,dealership_awards
p381,12,no,38.73201977367401,Dealership 11,1
p382,12,no,71.03895133132933,Dealership 11,1
p383,12,no,45.387449999999994,Dealership 11,1
p384,12,no,22.66755003328323,Dealership 11,1
p385,12,no,78.25626744384768,Dealership 11,1
p386,12,no,29.905810452651977,Dealership 11,1
p387,14,no,66.91725885505676,Dealership 11,1
p388,14,no,30.42232962722778,Dealership 11,1
p389,14,no,77.41169207687379,Dealership 11,1
p390,14,no,42.37558029289245,Dealership 11,1
p391,14,no,33.89138948078155,Dealership 11,1
p392,14,no,35.48981011981964,Dealership 11,1
p393,14,no,86.66367882843016,Dealership 11,1
p394,14,no,53.93446125144957,Dealership 11,1
p395,14,no,74.60224101181029,Dealership 11,1
p396,14,no,48.04333888168335,Dealership 11,1
p397,14,no,44.86045992012025,Dealership 11,1
p398,14,no,94.92102276916505,Dealership 11,1
p399,14,no,59.98961005325316,Dealership 11,1
p400,14,no,26.11567057247162,Dealership 11,1
p401,14,no,40.285070372772225,Dealership 11,1
p402,14,no,36.177340213012684,Dealership 11,1
p403,14,no,26.838099800300597,Dealership 11,1
p404,14,no,67.9677476036072,Dealership 11,1
p405,16,no,33.172450000000005,Dealership 11,1
p406,16,no,43.78902936096191,Dealership 11,1
p407,16,no,27.564020439338684,Dealership 11,1
p408,16,no,64.50566890830994,Dealership 11,1
p409,16,no,69.49986138458252,Dealership 11,1
p410,16,no,18.66103002662659,Dealership 11,1
p411,18,no,19.271779860210422,Dealership 11,1
p412,18,no,53.986809121322615,Dealership 11,1
p413,18,yes,84.36027936096191,Dealership 11,1
p414,18,no,32.858349467468244,Dealership 11,1
p415,18,no,25.12451001996994,Dealership 11,1
p416,10,yes,13.42253996754885,Dealership 12,4
p417,12,yes,84.088062449646,Dealership 12,4
p418,12,yes,44.741798535537725,Dealership 12,4
p419,12,yes,47.914209920120236,Dealership 12,4
p420,12,yes,74.50102669830324,Dealership 12,4
p421,12,yes,68.29930186386107,Dealership 12,4
p422,14,yes,77.32793149108885,Dealership 12,4
p423,14,yes,68.8123296272278,Dealership 12,4
p424,14,no,40.19083888168335,Dealership 12,4
p425,14,yes,71.15062989349364,Dealership 12,4
p426,14,yes,19.425340379428857,Dealership 12,4
p427,14,yes,79.04500685806275,Dealership 12,4
p428,14,yes,8,Dealership 12,4
p429,14,no,87.7037,Dealership 12,4
p430,14,no,30.076819707107543,Dealership 12,4
p431,14,yes,63.999620639038085,Dealership 12,4
p432,16,yes,55.44912130470276,Dealership 12,4
p433,16,yes,90.29677010650632,Dealership 12,4
p434,16,yes,55.73530053253176,Dealership 12,4
p435,16,yes,91.50780053253173,Dealership 12,4
p436,16,yes,30.70502077217101,Dealership 12,4
p437,16,yes,61.179698668670646,Dealership 12,4
p438,16,yes,84.54175952072144,Dealership 12,4
p439,16,yes,98.39008095855714,Dealership 12,4
p440,16,yes,25.672440246295924,Dealership 12,4
p441,16,yes,88.40519074554443,Dealership 12,4
p442,16,yes,92.77816165084839,Dealership 12,4
p443,16,yes,68.64132037277221,Dealership 12,4
p444,16,yes,91.06806244964599,Dealership 12,4
p445,16,yes,11.087730020385983,Dealership 12,4
p446,16,yes,77.71182696456911,Dealership 12,4
p447,16,yes,68.55057696456907,Dealership 12,4
p448,16,yes,49.188059121322624,Dealership 12,4
p449,16,yes,42.70363981361389,Dealership 12,4
p450,18,yes,56.311150399398805,Dealership 12,4
p451,18,yes,39.27297050590516,Dealership 12,4
p452,18,yes,25.218739846897122,Dealership 12,4
p453,18,yes,71.79278994674681,Dealership 12,4
p454,18,yes,95.929631224823,Dealership 12,4
p455,18,yes,68.69716298217774,Dealership 12,4
p456,18,yes,36.596139813613895,Dealership 12,4
p457,18,yes,94.73604786987306,Dealership 12,4
p458,18,yes,73.88679127807616,Dealership 12,4
p459,18,yes,50.294390479278555,Dealership 12,4
p460,18,yes,88.06317223663328,Dealership 12,4
p461,18,yes,67.84909287567137,Dealership 12,4
p462,20,yes,37.18595033283234,Dealership 12,4
p463,20,yes,63.47961005325317,Dealership 12,4
p464,20,yes,75.2129883491516,Dealership 12,4
p465,20,yes,92.0801589881897,Dealership 12,4
p466,20,yes,17.401139813613884,Dealership 12,4
p467,20,yes,52.712959920120255,Dealership 12,4
p468,20,yes,63.210881224823,Dealership 12,4
p469,20,yes,44.42420992012025,Dealership 12,4
p470,20,yes,29.24271025295257,Dealership 12,4
p471,22,yes,79.50568675155638,Dealership 12,4
p472,22,yes,65.00124960060121,Dealership 12,4
p473,22,yes,82.4547410118103,Dealership 12,4
p474,22,yes,89.95823968048096,Dealership 12,4
p475,22,yes,96.41822909469606,Dealership 12,4
p476,22,yes,60.92144074554444,Dealership 12,4
p477,22,yes,36.03774034614563,Dealership 12,4
p478,2,no,41.572878562164306,Dealership 13,1
p479,4,no,8.941379935097695,Dealership 13,1
p480,4,no,17.655910069894794,Dealership 13,1
p481,6,no,21.313429993343348,Dealership 13,1
p482,8,no,63.03288914794922,Dealership 13,1
p483,10,no,17.624499850225448,Dealership 13,1
p484,10,no,20.510729926776886,Dealership 13,1
p485,10,yes,34.1112601863861,Dealership 13,1
p486,12,yes,26.688030692291257,Dealership 13,1
p487,12,no,26.38090965385437,Dealership 13,1
p488,12,no,35.24201977367401,Dealership 13,1
p489,12,no,50.060559121322626,Dealership 13,1
p490,12,no,17.544229843568797,Dealership 13,1
p491,12,no,53.215520106506354,Dealership 13,1
p492,12,yes,18.92278019304275,Dealership 13,1
p493,12,yes,24.6254404127121,Dealership 13,1
p494,12,no,26.059829627227785,Dealership 13,1
p495,12,no,50.92259154434204,Dealership 13,1
p496,14,yes,31.368119307708735,Dealership 13,1
p497,14,no,12.700110011649132,Dealership 13,1
p498,14,yes,8,Dealership 13,1
p499,14,yes,53.519149733734125,Dealership 13,1
p500,14,no,32.799020439338676,Dealership 13,1
p501,14,yes,8,Dealership 13,1
p502,14,yes,32.55820958728789,Dealership 13,1
p503,14,yes,38.700610386085515,Dealership 13,1
p504,14,yes,17.83390006656647,Dealership 13,1
p505,14,no,39.65686930770874,Dealership 13,1
p506,14,no,59.158990346145636,Dealership 13,1
p507,14,yes,41.52751018638611,Dealership 13,1
p508,16,yes,16.56005003328323,Dealership 13,1
p509,16,yes,30.558439747047423,Dealership 13,1
p510,16,yes,47.59662130470276,Dealership 13,1
p511,16,yes,41.11569007987976,Dealership 13,1
p512,16,yes,35.510750266265866,Dealership 13,1
p513,16,yes,75.84467749710083,Dealership 13,1
p514,16,no,8,Dealership 13,1
p515,16,yes,86.55548834915159,Dealership 13,1
p516,16,no,28.743639813613882,Dealership 13,1
p517,16,yes,59.67900093193055,Dealership 13,1
p518,16,yes,39.2974003993988,Dealership 13,1
p519,16,yes,46.350690079879755,Dealership 13,1
p520,18,yes,88.25162856216431,Dealership 13,1
p521,18,yes,35.08147976036071,Dealership 13,1
p522,18,no,29.57076977367401,Dealership 13,1
p523,18,yes,93.95777936096191,Dealership 13,1
p524,18,no,20.186160153102875,Dealership 13,1
p525,18,no,52.576851464462266,Dealership 13,1
p526,18,yes,31.6228908121109,Dealership 13,1
p527,20,yes,87.84679127807617,Dealership 13,1
p528,20,yes,73.12248175735469,Dealership 13,1
p529,20,yes,30.467699667167654,Dealership 13,1
p530,20,yes,60.851639147949214,Dealership 13,1
p531,2,no,73.2934910118103,Dealership 14,2
p532,4,no,25.97257929439544,Dealership 14,2
p533,4,no,8,Dealership 14,2
p534,6,no,17.868800033283232,Dealership 14,2
p535,10,no,52.32556970710754,Dealership 14,2
p536,10,no,36.70782003993988,Dealership 14,2
p537,10,no,24.342750099849702,Dealership 14,2
p538,10,yes,32.963050199699396,Dealership 14,2
p539,10,no,8,Dealership 14,2
p540,12,yes,24.953499933433527,Dealership 14,2
p541,12,no,19.481179660511014,Dealership 14,2
p542,12,no,8.941379935097695,Dealership 14,2
p543,14,no,38.749470173072815,Dealership 14,2
p544,14,yes,74.79768015975951,Dealership 14,2
p545,14,no,48.5249605857849,Dealership 14,2
p546,14,no,28.59706045265198,Dealership 14,2
p547,14,yes,93.74838122482299,Dealership 14,2
p548,14,no,32.28249960060119,Dealership 14,2
p549,14,yes,70.43169207687377,Dealership 14,2
p550,14,yes,28.565649400901783,Dealership 14,2
p551,14,no,35.140810452651976,Dealership 14,2
p552,14,no,36.337880226325986,Dealership 14,2
p553,14,no,9.918580043268205,Dealership 14,2
p554,14,yes,81.99754920120242,Dealership 14,2
p555,16,yes,26.4995693742752,Dealership 14,2
p556,16,no,8,Dealership 14,2
p557,16,no,62.223211251449584,Dealership 14,2
p558,16,yes,48.38536071891785,Dealership 14,2
p559,18,yes,46.088940745544434,Dealership 14,2
p560,18,no,62.52684087867737,Dealership 14,2
p561,18,yes,82.97125685806274,Dealership 14,2
p562,18,yes,83.18414973373412,Dealership 14,2
p563,18,yes,85.51197909469604,Dealership 14,2
p564,18,yes,88.94963122482301,Dealership 14,2
p565,18,yes,61.25298834915162,Dealership 14,2
p566,18,yes,31.238990346145627,Dealership 14,2
p567,20,yes,62.854900399398794,Dealership 14,2
p568,20,yes,99.02177010650632,Dealership 14,2
p569,20,yes,74.56385213012693,Dealership 14,2
p570,20,no,46.67874960060119,Dealership 14,2
