profession,roses,music,voice,light
Engineer,9.0616,3.9448,8.7408,14.125
Engineer,5.3656,1.8202,9.8328,10.319
Engineer,8.2126,8.3965,7.4819,8.4628
Engineer,7.9773,4.5455,6.0108,8.4314
Engineer,2.4269,4.4242,7.6909,1.8694
Engineer,11.772,6.0492,9.2484,10.096
Engineer,3.8579,8.0609,5.7512,9.3152
Engineer,1.8983,5.0553,6.1499,14.163
Engineer,11.243,4.7085,6.5086,12.064
Engineer,9.9545,6.5867000000000004,6.0293,9.1828
Engineer,10.076,3.2205,4.4889,6.7232
Engineer,4.3008,2.2829,5.8213,7.837
Engineer,8.9902,3.3183,5.1066,8.6528
Engineer,5.0677,5.4802,5.0403,12.881
Engineer,6.3068,4.174,4.2058,11.204
Engineer,6.0308,2.7298,3.008,8.5195
Engineer,9.8077,2.9296,4.0005,9.8731
Engineer,9.9329,4.5827,7.4368,11.726
Engineer,5.5982,4.1837,7.359,10.042
Engineer,6.478,5.06,9.4068,8.9269
Engineer,8.859,2.9964,7.1673,8.5147
Engineer,5.4397,4.9854,4.6903,10.533
Engineer,5.9536,4.611,10.55,13.819
Engineer,8.0932,6.5531,8.6623,8.046
Engineer,5.1446,4.9534,2.9084,7.9253
Engineer,10.245,6.3892,8.485,13.566
Engineer,6.1588,6.9525,9.8799,10.011
Engineer,7.1755,3.9755,12.52,14.537
Engineer,6.5606,4.5035,2.2186,3.7573
Engineer,2.1617,4.5615,6.7412,8.8383
Engineer,5.4734,3.6359,7.9442,8.3227
Engineer,9.823,3.9435,7.4627,7.2959
Engineer,4.7347,6.8727,5.203,9.7085
teacher,6.9785,1.3048,8.5682,8.321
teacher,7.0213,4.496,7.2315,9.099
teacher,6.5865,4.6903,12.403,10.807
teacher,4.468,4.7282,7.1775,4.6218
teacher,6.5665,1.0579,2.8972,7.3614
teacher,8.2469,7.5594,4.9518,7.2154
teacher,10.197,5.383,6.1852,8.9349
teacher,7.2164,2.4427,4.0645,15.219
teacher,3.4734,1.4075,6.8958,8.685
teacher,8.3516,3.7758,4.1309,8.0152
teacher,7.198,1.6631,4.5249,5.5893
teacher,7.8612,5.5497,6.144,7.8968
teacher,4.3583,3.9847,5.4895,9.8639
teacher,5.7115,4.8207,3.4313,11.301
teacher,8.4514,8.4682,8.307,11.206
teacher,7.4305,1.7645,9.1686,8.3187
teacher,7.5442,7.4525,5.4071,13.211
teacher,7.4034,7.1082,3.1025,9.2231
teacher,4.8634,-0.73562,2.8107,5.8374
teacher,7.2622,6.7069,7.6673,5.275
teacher,6.1081,4.0215,8.0251,11.372
teacher,2.0124,4.6233,8.6049,7.4916
teacher,6.4802,1.5565,7.705,9.9012
teacher,3.5214,3.3388,5.1217,10.951
teacher,8.0633,4.2677,5.4069,9.2768
teacher,10.163,5.863,13.046,12.551
teacher,8.1563,6.322,5.7542,11.058
teacher,7.8,3.43,9.2917,8.8277
teacher,7.5906,3.1797,9.9125,12.861
teacher,2.1118,4.8564,5.4791,8.5212
teacher,10.194,2.7912,6.8631,9.1285
teacher,5.4858,1.7718,6.9478,10.792
teacher,5.4747,3.9014,1.9587,10.087
teacher,6.6052,4.5658,2.2205,12.631
teacher,6.3914,7.6527,5.3068,12.832
teacher,5.4917,6.4603,8.3179,6.7351
teacher,3.7407,5.6467,2.8754,9.3996
teacher,12.271,1.9148,8.937,7.8477
teacher,6.3964,4.0035,5.2697,8.0785
teacher,6.2333,5.7516,4.4989,9.7036
teacher,9.025,5.0826,7.8838,11.015
teacher,3.5272,5.3919,9.5513,8.2879
teacher,4.799,1.335,6.7693,9.3028
teacher,4.2833,7.9823,5.2164,10.547
teacher,2.3624,1.0818,8.2051,11.968
teacher,5.4058,4.3827,7.4361,9.177
teacher,7.4838,5.8681,7.5941,11.313
teacher,5.6216,3.3811,4.1024,9.6538
teacher,5.3559,4.0031,7.6669,10.044
teacher,7.6744,5.9097,7.8509,12.614
businessmen,10.308,2.1191,10.605,12.071
businessmen,7.7976,2.1979,7.8401,10.984
businessmen,7.3649,6.9146,6.6151,9.8873
businessmen,10.287,3.0745,7.9454,10.997
businessmen,7.2565,3.2603,7.1842,12.551
businessmen,5.611,3.04,10.471,8.9079
businessmen,10.507,4.0757,9.4482,9.9702
businessmen,7.6392,4.7998,10.448,12.826
businessmen,6.4055,6.7603,4.094,11.503
businessmen,7.7197,0.85435,6.9219,6.5405
businessmen,6.7606,3.1994,8.832,9.213
businessmen,7.3883,5.365,11.118,11.678
businessmen,10.698,0.65416,10.019,16.646
businessmen,7.7283,3.8984,6.7622,9.4195
businessmen,7.8902,7.5176,8.6928,7.6015
businessmen,10.449,0.23003,10.436,8.8951
businessmen,11.291,5.8617,9.7556,13.878
businessmen,6.7822,6.7291,7.6304,12.517
businessmen,8.4855,1.7844,6.5694,9.1479
businessmen,11.573,6.4113,8.9398,10.165
businessmen,6.6379,3.6364,3.9645,10.025
businessmen,5.0777,1.3852,8.1287,12.899
businessmen,3.4173,4.5304,8.6551,7.538
businessmen,9.5059,4.1816,7.86,10.005
businessmen,8.7298,1.7683,8.0241,10.601
businessmen,7.4376,0.30915,5.2315,7.5064
businessmen,8.2953,4.8529,13.548,11.477
businessmen,8.0749,6.3382,11.522,14.952
businessmen,11.766,4.1795,12.483,13.08
businessmen,5.9363,4.9492,9.6031,15.481
businessmen,8.2635,5.2966,8.6691,12.636
businessmen,10.504,5.9543,8.6346,11.746
businessmen,7.9098,5.9577,7.5009,9.4407
businessmen,8.8186,3.7226,12.114,10.607
businessmen,9.7689,4.6229,9.6529,11.59
businessmen,8.3208,2.2825,5.8872,9.15
businessmen,6.7618,0.85729,4.8278,8.5336
businessmen,8.5701,4.0686,7.2148,5.5542
businessmen,8.7319,-0.73611,10.342,9.7258
businessmen,7.4319,5.0541,1.9707,9.8881
businessmen,7.9938,3.659,4.4518,9.6416
businessmen,6.0932,3.2285,7.0448,8.3079
businessmen,7.6536,5.1697,11.615,12.487
businessmen,6.9239,1.1744,6.7634,10.695
businessmen,9.5896,4.8191,8.8827,10.32
businessmen,4.8146,2.3671,7.556,10.778
businessmen,10.065,7.0434,6.7605,7.3331
businessmen,7.0398,4.2485,13.435,8.7857
businessmen,10.141,3.5645,4.801,16.319
businessmen,4.0663,-0.32889,9.5672,7.8663
